,CPLX_INCIDENT_ID,CPLX_INC_IDENTIFIER,MEMBER_INCIDENT_ID,MEMBER_INC_IDENTIFIER,ICS_209_CPX,FOD_LIST
10,2014_000794_OLD MAN COMPLEX,901986,2014_000352_MACARONI,743542,True,"['{""ID"" : 300000028, ""COORDS"" : (46.28333333, -115.37916667), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 10.2, ""DISC"" : 213, ""CONT"" : 269.0}', '{""ID"" : 300000044, ""COORDS"" : (46.24666667, -115.39111111), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 0.1, ""DISC"" : 232, ""CONT"" : 269.0}']"
11,2014_000344_MODOC JULY COMPLEX,571039,2014_000357_GULCH,580027,True,"['{""ID"" : 300004058, ""COORDS"" : (41.72611111, -121.03166667), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 641.0, ""DISC"" : 183, ""CONT"" : 190.0}', '{""ID"" : 300004060, ""COORDS"" : (41.78305556, -121.34944444), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 456.0, ""DISC"" : 182, ""CONT"" : 183.0}', '{""ID"" : 300004103, ""MTBS_ID"" : ""CA4146612092420140703(GULCH)"", ""COORDS"" : (41.46638889, -120.92416667), ""CAUSE"" : ""6(Railroad)"", ""SIZE"" : 840.0, ""DISC"" : 184, ""CONT"" : 213.0}', '{""ID"" : 300004105, ""MTBS_ID"" : ""CA4073012217220140910(GULCH)"", ""COORDS"" : (41.47138889, -120.93694444), ""CAUSE"" : ""6(Railroad)"", ""SIZE"" : 556.0, ""DISC"" : 184, ""CONT"" : 190.0}']"
12,2014_000356_CHIWAUKUM COMPLEX,645401,2014_000377_DUNCAN,778078,False,"['{""ID"" : 300001197, ""MTBS_ID"" : ""WA4750312068220140803(HANSEL CREEK)"", ""COORDS"" : (47.46944444, -120.68416667), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 1073.0, ""DISC"" : 214, ""CONT"" : 233.0}', '{""ID"" : 300001217, ""MTBS_ID"" : ""WA4770812082320140715(CHIWAUKUM COMPLEX)"", ""COORDS"" : (47.83277778, -120.9375), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 19.25, ""DISC"" : 213, ""CONT"" : 294.0}', '{""ID"" : 300001219, ""MTBS_ID"" : ""WA4770812082320140715(CHIWAUKUM COMPLEX)"", ""COORDS"" : (47.86833333, -121.10277778), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 163.0, ""DISC"" : 216, ""CONT"" : 294.0}', '{""ID"" : 300001220, ""MTBS_ID"" : ""WA4770812082320140715(CHIWAUKUM COMPLEX)"", ""COORDS"" : (47.715, -120.82666667), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 14435.0, ""DISC"" : 196, ""CONT"" : 294.0}', '{""ID"" : 300005864, ""MTBS_ID"" : ""WA4770812082320140715(CHIWAUKUM COMPLEX)"", ""COORDS"" : (47.94805556, -120.61166667), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 125.0, ""DISC"" : 197, ""CONT"" : 235.0}', '{""ID"" : 300005867, ""MTBS_ID"" : ""WA4802412060120140716(DUNCAN)"", ""COORDS"" : (48.04222222, -120.61583333), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 13650.0, ""DISC"" : 197, ""CONT"" : 235.0}']"
13,2014_000390_OCHOCO COMPLEX,671366,2014_000386_FOX,657240,True,"['{""ID"" : 300000464, ""MTBS_ID"" : ""OR4425512018720140717(FOX)"", ""COORDS"" : (44.25555556, -120.18861111), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 9848.0, ""DISC"" : 198, ""CONT"" : 336.0}', '{""ID"" : 300024399, ""COORDS"" : (44.1975, -120.16), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 234.0, ""DISC"" : 194, ""CONT"" : 222.0}']"
14,2014_000424_WHISKEY COMPLEX,639392,2014_000400_CALDER,637398,True,"['{""ID"" : 300000692, ""MTBS_ID"" : ""ID4408611596520140715(WHISKEY COMPLEX)"", ""COORDS"" : (44.06638889, -115.92083333), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 8690.0, ""DISC"" : 195, ""CONT"" : 281.0}', '{""ID"" : 300000693, ""MTBS_ID"" : ""ID4408611596520140715(WHISKEY COMPLEX)"", ""COORDS"" : (44.03138889, -115.86944444), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 243.0, ""DISC"" : 195, ""CONT"" : 198.0}', '{""ID"" : 300003301, ""MTBS_ID"" : ""ID4408611596520140715(WHISKEY COMPLEX)"", ""COORDS"" : (44.035, -115.81166667), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 756.0, ""DISC"" : 195, ""CONT"" : 209.0}']"
15,2014_000424_WHISKEY COMPLEX,639392,2014_000406_GRIMES,637400,True,"['{""ID"" : 300000692, ""MTBS_ID"" : ""ID4408611596520140715(WHISKEY COMPLEX)"", ""COORDS"" : (44.06638889, -115.92083333), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 8690.0, ""DISC"" : 195, ""CONT"" : 281.0}', '{""ID"" : 300000693, ""MTBS_ID"" : ""ID4408611596520140715(WHISKEY COMPLEX)"", ""COORDS"" : (44.03138889, -115.86944444), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 243.0, ""DISC"" : 195, ""CONT"" : 198.0}', '{""ID"" : 300003301, ""MTBS_ID"" : ""ID4408611596520140715(WHISKEY COMPLEX)"", ""COORDS"" : (44.035, -115.81166667), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 756.0, ""DISC"" : 195, ""CONT"" : 209.0}']"
16,2014_000424_WHISKEY COMPLEX,639392,2014_000412_WASH,637393,True,"['{""ID"" : 300000692, ""MTBS_ID"" : ""ID4408611596520140715(WHISKEY COMPLEX)"", ""COORDS"" : (44.06638889, -115.92083333), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 8690.0, ""DISC"" : 195, ""CONT"" : 281.0}', '{""ID"" : 300000693, ""MTBS_ID"" : ""ID4408611596520140715(WHISKEY COMPLEX)"", ""COORDS"" : (44.03138889, -115.86944444), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 243.0, ""DISC"" : 195, ""CONT"" : 198.0}', '{""ID"" : 300003301, ""MTBS_ID"" : ""ID4408611596520140715(WHISKEY COMPLEX)"", ""COORDS"" : (44.035, -115.81166667), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 756.0, ""DISC"" : 195, ""CONT"" : 209.0}']"
17,2014_014120_SELWAY COMPLEX,916738,2014_000477_ELEVATOR MOUNTAIN,800846,True,"['{""ID"" : 300000132, ""MTBS_ID"" : ""ID4597111481820140809(ELEVATOR MOUNTAIN)"", ""COORDS"" : (45.97083333, -114.81805556), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 4227.0, ""DISC"" : 220, ""CONT"" : 297.0}', '{""ID"" : 300001620, ""COORDS"" : (45.77361111, -114.74583333), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 0.25, ""DISC"" : 236, ""CONT"" : 297.0}', '{""ID"" : 300001621, ""COORDS"" : (45.82444444, -114.44944444), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 0.5, ""DISC"" : 223, ""CONT"" : 297.0}', '{""ID"" : 300001622, ""MTBS_ID"" : ""ID4576611479220140822(RAVEN CREEK)"", ""COORDS"" : (45.765, -114.79166667), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 3853.0, ""DISC"" : 237, ""CONT"" : 297.0}', '{""ID"" : 300001623, ""COORDS"" : (45.91333333, -114.50083333), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 2.0, ""DISC"" : 223, ""CONT"" : 297.0}', '{""ID"" : 300001624, ""COORDS"" : (45.84166667, -114.885), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 1.0, ""DISC"" : 223, ""CONT"" : 297.0}']"
18,2014_000684_MCRAE COMPLEX,733009,2014_000496_MCRAE,580598,False,"['{""ID"" : 300000653, ""MTBS_ID"" : ""AZ3592011206820140704(MCRAE)"", ""COORDS"" : (35.92055556, -112.06861111), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 5505.0, ""DISC"" : 185, ""CONT"" : 242.0}', '{""ID"" : 300002937, ""MTBS_ID"" : ""AZ3588311194020140830(WILDFIRE-HAMMER FY14)"", ""COORDS"" : (35.8825, -111.94944444), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 8871.0, ""DISC"" : 210, ""CONT"" : 242.0}']"
19,2014_000546_SIMPSON COMPLEX,677341,2014_000502_FLATS,678902,True,"['{""ID"" : 300027495, ""MTBS_ID"" : ""UT4010011263320140721(SHEEP)"", ""COORDS"" : (40.098697, -112.631091), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 2930.0, ""DISC"" : 202, ""CONT"" : 210.0}', '{""ID"" : 300027497, ""MTBS_ID"" : ""UT3993311271820140721(LION PEAK)"", ""COORDS"" : (39.93546, -112.71972), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 1053.0, ""DISC"" : 202, ""CONT"" : 210.0}', '{""ID"" : 300027505, ""COORDS"" : (40.028294, -112.729685), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 38.0, ""DISC"" : 201, ""CONT"" : 208.0}', '{""ID"" : 300027506, ""COORDS"" : (40.050894, -112.702785), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 106.0, ""DISC"" : 201, ""CONT"" : 203.0}']"
20,2014_000546_SIMPSON COMPLEX,677341,2014_000503_LUCKY,669841,True,"['{""ID"" : 300027495, ""MTBS_ID"" : ""UT4010011263320140721(SHEEP)"", ""COORDS"" : (40.098697, -112.631091), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 2930.0, ""DISC"" : 202, ""CONT"" : 210.0}', '{""ID"" : 300027497, ""MTBS_ID"" : ""UT3993311271820140721(LION PEAK)"", ""COORDS"" : (39.93546, -112.71972), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 1053.0, ""DISC"" : 202, ""CONT"" : 210.0}', '{""ID"" : 300027505, ""COORDS"" : (40.028294, -112.729685), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 38.0, ""DISC"" : 201, ""CONT"" : 208.0}', '{""ID"" : 300027506, ""COORDS"" : (40.050894, -112.702785), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 106.0, ""DISC"" : 201, ""CONT"" : 203.0}']"
21,2014_000591_WATERMELON HILL,672843,2014_000508_WATERMELON HILL,666870,False,"['{""ID"" : 300028688, ""MTBS_ID"" : ""WA4733311786420140719(WATERMELON HILL)"", ""COORDS"" : (47.320294, -117.879983), ""CAUSE"" : ""2(Equipment Use)"", ""SIZE"" : 10552.2, ""DISC"" : 200, ""CONT"" : 224.0}']"
22,2014_000546_SIMPSON COMPLEX,677341,2014_000531_SHEEP,678902,False,"['{""ID"" : 300027495, ""MTBS_ID"" : ""UT4010011263320140721(SHEEP)"", ""COORDS"" : (40.098697, -112.631091), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 2930.0, ""DISC"" : 202, ""CONT"" : 210.0}', '{""ID"" : 300027497, ""MTBS_ID"" : ""UT3993311271820140721(LION PEAK)"", ""COORDS"" : (39.93546, -112.71972), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 1053.0, ""DISC"" : 202, ""CONT"" : 210.0}', '{""ID"" : 300027505, ""COORDS"" : (40.028294, -112.729685), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 38.0, ""DISC"" : 201, ""CONT"" : 208.0}', '{""ID"" : 300027506, ""COORDS"" : (40.050894, -112.702785), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 106.0, ""DISC"" : 201, ""CONT"" : 203.0}']"
23,2014_005333_BUTTS,573207,2014_0005333_BUTTS,569628,False,"['{""ID"" : 300081582, ""MTBS_ID"" : ""CA3866612243620140701(BUTTS)"", ""COORDS"" : (38.671667, -122.444722), ""CAUSE"" : ""2(Equipment Use)"", ""SIZE"" : 4300.0, ""DISC"" : 182, ""CONT"" : 184.0}']"
24,2014_000534_CARLTON COMPLEX,638842,2014_000534_CARLTON COMPLEX,638842,True,"['{""ID"" : 300028685, ""MTBS_ID"" : ""WA4821112010220140714(CARLTON COMPLEX)"", ""COORDS"" : (48.5111, -120.0881), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 255575.0, ""DISC"" : 195, ""CONT"" : 322.0}', '{""ID"" : 300077015, ""COORDS"" : (48.1968, -120.1276), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 0.01, ""DISC"" : 195, ""CONT"" : 41.0}', '{""ID"" : 300138830, ""MTBS_ID"" : ""WA4821112010220140714(CARLTON COMPLEX)"", ""COORDS"" : (48.4129, -120.146), ""CAUSE"" : ""9(Miscellaneous)"", ""SIZE"" : 579.0, ""DISC"" : 213, ""CONT"" : 41.0}']"
25,2014_000633_SITGREAVES COMPLEX,683068,2014_000534_DUCK,600337,True,"['{""ID"" : 300002923, ""MTBS_ID"" : ""AZ3532511198020140815(WILDFIRE-SITGREAVES FY14)"", ""COORDS"" : (35.325, -111.98166667), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 10748.0, ""DISC"" : 195, ""CONT"" : ""unknown""}', '{""ID"" : 300002924, ""COORDS"" : (35.2825, -112.02111111), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 322.0, ""DISC"" : 188, ""CONT"" : ""unknown""}']"
26,2014_000546_SIMPSON COMPLEX,677341,2014_000540_LION PEAK,678586,True,"['{""ID"" : 300027495, ""MTBS_ID"" : ""UT4010011263320140721(SHEEP)"", ""COORDS"" : (40.098697, -112.631091), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 2930.0, ""DISC"" : 202, ""CONT"" : 210.0}', '{""ID"" : 300027497, ""MTBS_ID"" : ""UT3993311271820140721(LION PEAK)"", ""COORDS"" : (39.93546, -112.71972), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 1053.0, ""DISC"" : 202, ""CONT"" : 210.0}', '{""ID"" : 300027505, ""COORDS"" : (40.028294, -112.729685), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 38.0, ""DISC"" : 201, ""CONT"" : 208.0}', '{""ID"" : 300027506, ""COORDS"" : (40.050894, -112.702785), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 106.0, ""DISC"" : 201, ""CONT"" : 203.0}']"
27,2014_000356_CHIWAUKUM COMPLEX,645401,2014_000549_HANSEL CREEK,780175,False,"['{""ID"" : 300001197, ""MTBS_ID"" : ""WA4750312068220140803(HANSEL CREEK)"", ""COORDS"" : (47.46944444, -120.68416667), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 1073.0, ""DISC"" : 214, ""CONT"" : 233.0}', '{""ID"" : 300001217, ""MTBS_ID"" : ""WA4770812082320140715(CHIWAUKUM COMPLEX)"", ""COORDS"" : (47.83277778, -120.9375), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 19.25, ""DISC"" : 213, ""CONT"" : 294.0}', '{""ID"" : 300001219, ""MTBS_ID"" : ""WA4770812082320140715(CHIWAUKUM COMPLEX)"", ""COORDS"" : (47.86833333, -121.10277778), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 163.0, ""DISC"" : 216, ""CONT"" : 294.0}', '{""ID"" : 300001220, ""MTBS_ID"" : ""WA4770812082320140715(CHIWAUKUM COMPLEX)"", ""COORDS"" : (47.715, -120.82666667), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 14435.0, ""DISC"" : 196, ""CONT"" : 294.0}', '{""ID"" : 300005864, ""MTBS_ID"" : ""WA4770812082320140715(CHIWAUKUM COMPLEX)"", ""COORDS"" : (47.94805556, -120.61166667), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 125.0, ""DISC"" : 197, ""CONT"" : 235.0}', '{""ID"" : 300005867, ""MTBS_ID"" : ""WA4802412060120140716(DUNCAN)"", ""COORDS"" : (48.04222222, -120.61583333), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 13650.0, ""DISC"" : 197, ""CONT"" : 235.0}']"
28,2014_000633_SITGREAVES COMPLEX,683068,2014_000582_SITGREAVES,662546,False,"['{""ID"" : 300002923, ""MTBS_ID"" : ""AZ3532511198020140815(WILDFIRE-SITGREAVES FY14)"", ""COORDS"" : (35.325, -111.98166667), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 10748.0, ""DISC"" : 195, ""CONT"" : ""unknown""}', '{""ID"" : 300002924, ""COORDS"" : (35.2825, -112.02111111), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 322.0, ""DISC"" : 188, ""CONT"" : ""unknown""}']"
