,CPLX_INCIDENT_ID,CPLX_INC_IDENTIFIER,MEMBER_INCIDENT_ID,MEMBER_INC_IDENTIFIER,ICS_209_CPX,FOD_LIST
0,2014_040067_MGC COMPLEX,580435,2014_000059_COTTONWOOD,575968,True,"['{""ID"" : 300021142, ""COORDS"" : (38.08, -114.1917), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 1027.0, ""DISC"" : 184, ""CONT"" : 195.0}', '{""ID"" : 300021158, ""COORDS"" : (37.4281, -114.0528), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 10332.0, ""DISC"" : 182, ""CONT"" : 195.0}', '{""ID"" : 300026654, ""COORDS"" : (37.4589, -113.9672), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 761.0, ""DISC"" : 183, ""CONT"" : 193.0}']"
1,2014_004111_BUZZARD COMPLEX,634805,2014_000067_SADDLE DRAW,634363,True,"['{""ID"" : 300023292, ""MTBS_ID"" : ""OR4362911838720140714(BUZZARD)"", ""COORDS"" : (43.6161, -118.4256), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 87141.0, ""DISC"" : 195, ""CONT"" : 246.0}', '{""ID"" : 300023293, ""MTBS_ID"" : ""OR4325911851220140714(BEAVER CREEK)"", ""COORDS"" : (43.6161, -118.4256), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 27337.0, ""DISC"" : 195, ""CONT"" : 246.0}', '{""ID"" : 300023294, ""MTBS_ID"" : ""OR4371511840820140714(BARTLETT)"", ""COORDS"" : (43.6161, -118.4256), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 3975.0, ""DISC"" : 195, ""CONT"" : 246.0}', '{""ID"" : 300024929, ""MTBS_ID"" : ""OR4332411821620140714(SADDLE DRAW)"", ""COORDS"" : (43.3283, -118.2244), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 280141.0, ""DISC"" : 195, ""CONT"" : 246.0}', '{""ID"" : 300155112, ""COORDS"" : (43.3144444, -118.3669444), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 10355.0, ""DISC"" : 195, ""CONT"" : ""unknown""}']"
2,2014_000070_LOGGING UNIT FIRES,647372,2014_000070_LOGGING UNIT FIRES,647372,True,"['{""ID"" : 300004838, ""MTBS_ID"" : ""OR4463612175020140713(BEAR BUTTE 2)"", ""COORDS"" : (44.63638889, -121.74972222), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 4040.0, ""DISC"" : 194, ""CONT"" : 311.0}', '{""ID"" : 300025074, ""COORDS"" : (45.10711, -121.72996), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 0.1, ""DISC"" : 194, ""CONT"" : 195.0}', '{""ID"" : 300025089, ""MTBS_ID"" : ""OR4493212174420140716(LOGGING UNIT FIRES)"", ""COORDS"" : (44.93872, -121.73274), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 6103.0, ""DISC"" : 196, ""CONT"" : 290.0}', '{""ID"" : 300025091, ""COORDS"" : (44.9597, -121.7111), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 1.0, ""DISC"" : 196, ""CONT"" : 290.0}', '{""ID"" : 300025092, ""MTBS_ID"" : ""OR4493212174420140716(LOGGING UNIT FIRES)"", ""COORDS"" : (44.9317, -121.7436), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 316.0, ""DISC"" : 197, ""CONT"" : 290.0}', '{""ID"" : 300025093, ""COORDS"" : (44.9739, -121.7042), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 1.5, ""DISC"" : 197, ""CONT"" : 290.0}']"
3,2014_000098_KITTEN COMPLEX,687974,2014_000090_STEMLER,684213,True,"['{""ID"" : 300024937, ""MTBS_ID"" : ""OR4384611806020140723(STEMLER)"", ""COORDS"" : (43.795, -118.0431), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 4380.0, ""DISC"" : 204, ""CONT"" : 219.0}', '{""ID"" : 300024938, ""MTBS_ID"" : ""OR4413511774120140723(JUNIPER)"", ""COORDS"" : (44.1392, -117.7283), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 1265.0, ""DISC"" : 205, ""CONT"" : 219.0}', '{""ID"" : 300024939, ""MTBS_ID"" : ""OR4410511798020140723(KITTEN CANYON)"", ""COORDS"" : (44.0997, -117.9917), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 4265.0, ""DISC"" : 204, ""CONT"" : 219.0}', '{""ID"" : 300024940, ""MTBS_ID"" : ""OR4428211759520140723(BROGAN HILL)"", ""COORDS"" : (44.28, -117.5789), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 10909.0, ""DISC"" : 204, ""CONT"" : 219.0}']"
4,2014_000098_KITTEN COMPLEX,687974,2014_000091_BROGAN HILL,686059,True,"['{""ID"" : 300024937, ""MTBS_ID"" : ""OR4384611806020140723(STEMLER)"", ""COORDS"" : (43.795, -118.0431), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 4380.0, ""DISC"" : 204, ""CONT"" : 219.0}', '{""ID"" : 300024938, ""MTBS_ID"" : ""OR4413511774120140723(JUNIPER)"", ""COORDS"" : (44.1392, -117.7283), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 1265.0, ""DISC"" : 205, ""CONT"" : 219.0}', '{""ID"" : 300024939, ""MTBS_ID"" : ""OR4410511798020140723(KITTEN CANYON)"", ""COORDS"" : (44.0997, -117.9917), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 4265.0, ""DISC"" : 204, ""CONT"" : 219.0}', '{""ID"" : 300024940, ""MTBS_ID"" : ""OR4428211759520140723(BROGAN HILL)"", ""COORDS"" : (44.28, -117.5789), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 10909.0, ""DISC"" : 204, ""CONT"" : 219.0}']"
5,2014_000098_KITTEN COMPLEX,687974,2014_000094_KITTEN CANYON,685450,True,"['{""ID"" : 300024937, ""MTBS_ID"" : ""OR4384611806020140723(STEMLER)"", ""COORDS"" : (43.795, -118.0431), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 4380.0, ""DISC"" : 204, ""CONT"" : 219.0}', '{""ID"" : 300024938, ""MTBS_ID"" : ""OR4413511774120140723(JUNIPER)"", ""COORDS"" : (44.1392, -117.7283), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 1265.0, ""DISC"" : 205, ""CONT"" : 219.0}', '{""ID"" : 300024939, ""MTBS_ID"" : ""OR4410511798020140723(KITTEN CANYON)"", ""COORDS"" : (44.0997, -117.9917), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 4265.0, ""DISC"" : 204, ""CONT"" : 219.0}', '{""ID"" : 300024940, ""MTBS_ID"" : ""OR4428211759520140723(BROGAN HILL)"", ""COORDS"" : (44.28, -117.5789), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 10909.0, ""DISC"" : 204, ""CONT"" : 219.0}']"
6,2014_000098_KITTEN COMPLEX,687974,2014_000096_JUNIPER,689218,True,"['{""ID"" : 300024937, ""MTBS_ID"" : ""OR4384611806020140723(STEMLER)"", ""COORDS"" : (43.795, -118.0431), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 4380.0, ""DISC"" : 204, ""CONT"" : 219.0}', '{""ID"" : 300024938, ""MTBS_ID"" : ""OR4413511774120140723(JUNIPER)"", ""COORDS"" : (44.1392, -117.7283), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 1265.0, ""DISC"" : 205, ""CONT"" : 219.0}', '{""ID"" : 300024939, ""MTBS_ID"" : ""OR4410511798020140723(KITTEN CANYON)"", ""COORDS"" : (44.0997, -117.9917), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 4265.0, ""DISC"" : 204, ""CONT"" : 219.0}', '{""ID"" : 300024940, ""MTBS_ID"" : ""OR4428211759520140723(BROGAN HILL)"", ""COORDS"" : (44.28, -117.5789), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 10909.0, ""DISC"" : 204, ""CONT"" : 219.0}']"
7,2014_000390_OCHOCO COMPLEX,671366,2014_000301_OSCAR CANYON,646607,True,"['{""ID"" : 300000464, ""MTBS_ID"" : ""OR4425512018720140717(FOX)"", ""COORDS"" : (44.25555556, -120.18861111), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 9848.0, ""DISC"" : 198, ""CONT"" : 336.0}', '{""ID"" : 300024399, ""COORDS"" : (44.1975, -120.16), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 234.0, ""DISC"" : 194, ""CONT"" : 222.0}']"
8,2014_000344_MODOC JULY COMPLEX,571039,2014_000332_DOBIE,574123,True,"['{""ID"" : 300004058, ""COORDS"" : (41.72611111, -121.03166667), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 641.0, ""DISC"" : 183, ""CONT"" : 190.0}', '{""ID"" : 300004060, ""COORDS"" : (41.78305556, -121.34944444), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 456.0, ""DISC"" : 182, ""CONT"" : 183.0}', '{""ID"" : 300004103, ""MTBS_ID"" : ""CA4146612092420140703(GULCH)"", ""COORDS"" : (41.46638889, -120.92416667), ""CAUSE"" : ""6(Railroad)"", ""SIZE"" : 840.0, ""DISC"" : 184, ""CONT"" : 213.0}', '{""ID"" : 300004105, ""MTBS_ID"" : ""CA4073012217220140910(GULCH)"", ""COORDS"" : (41.47138889, -120.93694444), ""CAUSE"" : ""6(Railroad)"", ""SIZE"" : 556.0, ""DISC"" : 184, ""CONT"" : 190.0}']"
9,2014_000344_MODOC JULY COMPLEX,571039,2014_000347_DALTON,573518,True,"['{""ID"" : 300004058, ""COORDS"" : (41.72611111, -121.03166667), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 641.0, ""DISC"" : 183, ""CONT"" : 190.0}', '{""ID"" : 300004060, ""COORDS"" : (41.78305556, -121.34944444), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 456.0, ""DISC"" : 182, ""CONT"" : 183.0}', '{""ID"" : 300004103, ""MTBS_ID"" : ""CA4146612092420140703(GULCH)"", ""COORDS"" : (41.46638889, -120.92416667), ""CAUSE"" : ""6(Railroad)"", ""SIZE"" : 840.0, ""DISC"" : 184, ""CONT"" : 213.0}', '{""ID"" : 300004105, ""MTBS_ID"" : ""CA4073012217220140910(GULCH)"", ""COORDS"" : (41.47138889, -120.93694444), ""CAUSE"" : ""6(Railroad)"", ""SIZE"" : 556.0, ""DISC"" : 184, ""CONT"" : 190.0}']"
