,Narrative,document number
5180,36.0,02-0694
5181,15.0,02-0695
5182,88.0,02-0696
5183,-1.0,02-0697
5184,-1.0,02-0698
5185,-1.0,02-0699
5186,-1.0,02-0701
5187,-1.0,02-0702
5188,50.0,02-0703
5189,81.0,02-0704
5190,17.0,02-0705
5191,3.0,02-0706
5192,17.0,02-0707
5193,-1.0,02-0708
5194,-1.0,02-0709
5195,-1.0,02-0711
5196,25.0,02-0712
5197,-1.0,02-0713
5198,-1.0,02-0714
5199,-1.0,02-0715
5200,1.0,02-0716
5201,-1.0,02-0717
5202,-1.0,02-0718
5203,-1.0,02-0719
5204,0.0,02-0721
5205,2.0,02-0722
5206,32.0,02-0723
5207,-1.0,02-0724
5208,3.0,02-0725
5209,9.0,02-0726
5210,80.0,02-0727
5211,-1.0,02-0728
5212,39.0,02-0729
5213,0.0,02-0731
5214,0.0,02-0732
5215,-1.0,02-0733
5216,42.0,02-0734
5217,-1.0,02-0735
5218,47.0,02-0736
5219,-1.0,02-0737
5220,-1.0,02-0738
5221,0.0,02-0739
5222,-1.0,02-0741
5223,-1.0,02-0742
5224,6.0,02-0743
5225,1.0,02-0744
5226,32.0,02-0745
5227,-1.0,02-0746
5228,6.0,02-0747
5229,0.0,02-0748
5230,34.0,02-0749
5231,-1.0,02-0751
5232,3.0,02-0752
5233,1.0,02-0753
5234,15.0,02-0754
5235,81.0,02-0755
5236,-1.0,02-0756
5237,43.0,02-0757
5238,-1.0,02-0758
5239,-1.0,02-0759
5240,0.0,02-0761
5241,1.0,02-0762
5242,1.0,02-0763
5243,5.0,02-0764
5244,-1.0,02-0765
5245,85.0,02-0766
5246,2.0,02-0767
5247,-1.0,02-0768
5248,17.0,02-0769
5249,1.0,02-0771
5250,11.0,02-0772
5251,0.0,02-0773
5252,-1.0,02-0774
5253,0.0,02-0775
5254,67.0,02-0776
5255,16.0,02-0777
5256,10.0,02-0778
5257,0.0,02-0779
5258,1.0,02-0781
5259,-1.0,02-0782
5260,-1.0,02-0783
5261,-1.0,02-0784
5262,-1.0,02-0785
5263,11.0,02-0786
5264,12.0,02-0787
5265,-1.0,02-0788
5266,7.0,02-0789
5267,22.0,02-0791
5268,7.0,02-0792
5269,52.0,02-0793
5270,47.0,02-0794
5271,-1.0,02-0795
5272,72.0,02-0796
5273,6.0,02-0797
5274,31.0,02-0798
5275,38.0,02-0799
5276,1.0,02-0801
5277,-1.0,02-0802
5278,-1.0,02-0803
5279,-1.0,02-0804
5280,39.0,02-0805
5281,-1.0,02-0806
5282,0.0,02-0807
5283,1.0,02-0808
5284,1.0,02-0809
5285,-1.0,02-0811
5286,-1.0,02-0812
5287,0.0,02-0813
5288,-1.0,02-0814
5289,-1.0,02-0815
5290,1.0,02-0816
5291,16.0,02-0817
5292,0.0,02-0818
5293,-1.0,02-0819
5294,1.0,02-0821
5295,24.0,02-0822
5296,14.0,02-0823
5297,2.0,02-0824
5298,-1.0,02-0825
5299,16.0,02-0826
5300,11.0,02-0827
5301,-1.0,02-0828
5302,47.0,02-0829
5303,13.0,02-0831
5304,6.0,02-0832
5305,-1.0,02-0833
5306,-1.0,02-0834
5307,52.0,02-0835
5308,2.0,02-0836
5309,-1.0,02-0837
5310,3.0,02-0838
5311,22.0,02-0839
5312,-1.0,02-0841
5313,20.0,02-0842
5314,-1.0,02-0843
5315,-1.0,02-0844
5316,0.0,02-0845
5317,47.0,02-0846
5318,-1.0,02-0847
5319,-1.0,02-0848
5320,-1.0,02-0849
5321,-1.0,02-0851
5322,33.0,02-0852
5323,-1.0,02-0853
5324,21.0,02-0854
5325,2.0,02-0855
5326,0.0,02-0856
5327,12.0,02-0857
5328,8.0,02-0858
5329,10.0,02-0859
5330,3.0,02-0861
5331,-1.0,02-0862
5332,-1.0,02-0863
5333,-1.0,02-0864
5334,-1.0,02-0865
5335,-1.0,02-0866
5336,56.0,02-0867
5337,-1.0,02-0868
5338,-1.0,02-0869
5339,-1.0,02-0871
5340,30.0,02-0872
5341,47.0,02-0873
5342,1.0,02-0874
5343,-1.0,02-0875
5344,56.0,02-0876
5345,-1.0,02-0877
5346,3.0,02-0878
5347,3.0,02-0879
5348,2.0,02-0881
5349,2.0,02-0882
5350,-1.0,02-0883
5351,-1.0,02-0884
5352,1.0,02-0885
5353,-1.0,02-0886
5354,9.0,02-0887
5355,-1.0,02-0888
5356,26.0,02-0889
5357,21.0,02-0891
5358,1.0,02-0892
5359,0.0,02-0893
5360,-1.0,02-0894
5361,37.0,02-0895
5362,-1.0,02-0896
5363,-1.0,02-0897
5364,0.0,02-0898
5365,2.0,02-0899
5366,6.0,02-0901
5367,0.0,02-0902
5368,9.0,02-0903
5369,92.0,02-0904
5370,-1.0,02-0905
5371,-1.0,02-0906
5372,-1.0,02-0907
5373,-1.0,02-0908
5374,-1.0,02-0909
5375,-1.0,02-0911
5376,-1.0,02-0912
5377,36.0,02-0913
5378,68.0,02-0914
5379,39.0,02-0915
5380,-1.0,02-0916
5381,-1.0,02-0917
5382,52.0,02-0918
5383,91.0,02-0919
5384,1.0,02-0921
5385,-1.0,02-0922
5386,20.0,02-0923
5387,15.0,02-0924
5388,-1.0,02-0925
5389,65.0,02-0926
5390,1.0,02-0927
5391,3.0,02-0928
5392,5.0,02-0929
5393,0.0,02-0931
5394,-1.0,02-0932
5395,-1.0,02-0933
5396,3.0,02-0934
5397,-1.0,02-0935
5398,-1.0,02-0936
5399,-1.0,02-0937
5400,35.0,02-0938
5401,89.0,02-0939
5402,-1.0,02-0941
5403,-1.0,02-0942
5404,-1.0,02-0944
5405,2.0,02-0945
5406,0.0,02-0946
5407,-1.0,02-0947
5408,2.0,02-0948
5409,46.0,02-0949
5410,99.0,02-0951
5411,38.0,02-0952
5412,0.0,02-0953
5413,10.0,02-0954
5414,-1.0,02-0955
5415,5.0,02-0956
5416,26.0,02-0957
5417,-1.0,02-0958
5418,-1.0,02-0959
5419,-1.0,02-0961
5420,-1.0,02-0965
5421,8.0,02-0966
5422,-1.0,02-0967
5423,13.0,02-0968
5424,-1.0,02-0969
5425,-1.0,02-0971
5426,10.0,02-0972
5427,18.0,02-0973
5428,-1.0,02-0974
5429,7.0,02-0975
5430,6.0,02-0976
5431,-1.0,02-0977
5432,-1.0,02-0978
5433,1.0,02-0979
5434,7.0,02-0981
5435,23.0,02-0982
5436,-1.0,02-0983
5437,5.0,02-0984
5438,37.0,02-0985
5439,-1.0,02-0986
5440,-1.0,02-0987
5441,-1.0,02-0988
5442,18.0,02-0989
5443,1.0,02-0991
5444,-1.0,02-0992
5445,-1.0,02-0993
5446,-1.0,02-0994
5447,92.0,02-0995
5448,2.0,02-0996
5449,-1.0,02-0997
5450,18.0,02-0998
5451,0.0,02-0999
5452,9.0,02-1001
5453,-1.0,02-1002
5454,46.0,02-1003
5455,6.0,02-1004
5456,-1.0,02-1005
5457,7.0,02-1006
5458,12.0,02-1007
5459,17.0,02-1008
5460,-1.0,02-1009
5461,22.0,02-1011
5462,5.0,02-1012
5463,1.0,02-1013
5464,-1.0,02-1014
5465,-1.0,02-1015
5466,2.0,02-1016
5467,-1.0,02-1017
5468,-1.0,02-1018
5469,-1.0,02-1019
5470,-1.0,02-1021
5471,10.0,02-1022
5472,-1.0,02-1023
5473,1.0,02-1024
5474,-1.0,02-1025
5475,51.0,02-1026
5476,-1.0,02-1027
5477,30.0,02-1028
5478,12.0,02-1029
5479,-1.0,02-1031
5480,3.0,02-1032
5481,9.0,02-1033
5482,-1.0,02-1034
5483,27.0,02-1035
5484,12.0,02-1036
5485,31.0,02-1037
5486,59.0,02-1038
5487,-1.0,02-1039
5488,-1.0,02-1041
5489,6.0,02-1042
5490,-1.0,02-1043
5491,0.0,02-1044
5492,77.0,02-1045
5493,-1.0,02-1046
5494,-1.0,02-1047
5495,-1.0,02-1048
5496,2.0,02-1049
5497,66.0,02-1051
5498,-1.0,02-1052
5499,-1.0,02-1053
5500,10.0,02-1054
5501,97.0,02-1055
5502,27.0,02-1056
5503,-1.0,02-1057
5504,11.0,02-1058
5505,-1.0,02-1059
5506,3.0,02-1061
5507,5.0,02-1062
5508,16.0,02-1063
5509,57.0,02-1064
5510,-1.0,02-1065
5511,-1.0,02-1066
5512,23.0,02-1067
5513,-1.0,02-1068
5514,1.0,02-1069
5515,-1.0,02-1071
5516,82.0,02-1072
5517,95.0,02-1073
5518,-1.0,02-1074
5519,-1.0,02-1075
5520,6.0,02-1076
5521,-1.0,02-1077
5522,11.0,02-1078
5523,-1.0,02-1079
5524,5.0,02-1081
5525,36.0,02-1082
5526,-1.0,02-1083
5527,1.0,02-1084
5528,43.0,02-1085
5529,-1.0,02-1086
5530,1.0,02-1087
5531,-1.0,02-1088
5532,34.0,02-1089
5533,-1.0,02-1091
5534,-1.0,02-1092
5535,41.0,02-1094
5536,1.0,02-1095
5537,-1.0,02-1096
5538,35.0,02-1097
5539,16.0,02-1098
5540,-1.0,02-1099
5541,18.0,02-1101
5542,5.0,02-1102
5543,-1.0,02-1103
5544,-1.0,02-1104
5545,-1.0,02-1105
5546,-1.0,02-1106
5547,-1.0,02-1107
5548,-1.0,02-1108
5549,6.0,02-1109
5550,0.0,02-1111
5551,-1.0,02-1112
5552,-1.0,02-1113
5553,15.0,02-1114
5554,1.0,02-1115
5555,0.0,02-1116
5556,6.0,02-1117
5557,0.0,02-1118
5558,2.0,02-1119
5559,1.0,02-1121
5560,43.0,02-1122
5561,-1.0,02-1123
5562,0.0,02-1124
5563,1.0,02-1125
5564,5.0,02-1126
5565,6.0,02-1127
5566,-1.0,02-1128
5567,46.0,02-1129
5568,54.0,02-1131
5569,26.0,02-1132
5570,57.0,02-1133
5571,-1.0,02-1134
5572,74.0,02-1135
5573,36.0,02-1136
5574,6.0,02-1137
5575,-1.0,02-1138
5576,7.0,02-1139
5577,-1.0,02-1141
5578,-1.0,02-1142
5579,4.0,02-1143
5580,-1.0,02-1148
5581,0.0,02-1149
5582,-1.0,02-1151
5583,1.0,02-1152
5584,87.0,02-1153
5585,-1.0,02-1154
5586,-1.0,02-1155
5587,1.0,02-1156
5588,-1.0,02-1157
5589,3.0,02-1158
5590,-1.0,02-1159
5591,0.0,02-1161
5592,-1.0,02-1162
5593,36.0,02-1163
5594,31.0,02-1164
5595,-1.0,02-1165
5596,11.0,02-1166
5597,72.0,02-1167
5598,29.0,02-1168
5599,66.0,02-1169
5600,-1.0,02-1171
5601,-1.0,02-1172
5602,-1.0,02-1173
5603,-1.0,02-1174
5604,0.0,02-1175
5605,1.0,02-1176
5606,-1.0,02-1177
5607,-1.0,02-1178
5608,0.0,02-1179
5609,2.0,02-1181
5610,-1.0,02-1182
5611,1.0,02-1183
5612,-1.0,02-1184
5613,12.0,02-1185
5614,0.0,02-1186
5615,1.0,02-1187
5616,29.0,02-1188
5617,-1.0,02-1189
5618,-1.0,02-1191
5619,1.0,02-1192
5620,-1.0,02-1193
5621,-1.0,02-1194
5622,36.0,02-1195
5623,75.0,02-1196
5624,-1.0,02-1197
5625,2.0,02-1198
5626,-1.0,02-1199
5627,-1.0,02-1201
5628,3.0,02-1202
5629,9.0,02-1203
5630,3.0,02-1204
5631,-1.0,02-1205
5632,2.0,02-1206
5633,7.0,02-1207
5634,7.0,02-1208
5635,11.0,02-1209
5636,2.0,02-1211
5637,-1.0,02-1212
5638,-1.0,02-1213
5639,-1.0,02-1214
5640,-1.0,02-1215
5641,34.0,02-1216
5642,-1.0,02-1217
5643,-1.0,02-1218
5644,33.0,02-1219
5645,53.0,02-1221
5646,2.0,02-1222
5647,0.0,02-1223
5648,0.0,02-1224
5649,10.0,02-1225
5650,-1.0,02-1226
5651,-1.0,02-1227
5652,-1.0,02-1228
5653,1.0,02-1229
5654,-1.0,02-1232
5655,-1.0,02-1233
5656,31.0,02-1234
5657,-1.0,02-1235
5658,53.0,02-1236
5659,-1.0,02-1237
5660,-1.0,02-1238
5661,-1.0,02-1239
5662,34.0,02-1241
5663,8.0,02-1242
5664,-1.0,02-1243
5665,-1.0,02-1244
5666,99.0,02-1245
5667,-1.0,02-1246
5668,-1.0,02-1247
5669,16.0,02-1248
5670,-1.0,02-1249
5671,44.0,02-1251
5672,-1.0,02-1252
5673,0.0,02-1253
5674,6.0,02-1254
5675,-1.0,02-1255
5676,1.0,02-1256
5677,-1.0,02-1257
5678,77.0,02-1258
5679,-1.0,02-1259
5680,34.0,02-1261
5681,1.0,02-1262
5682,44.0,02-1263
5683,1.0,02-1264
5684,-1.0,02-1265
5685,-1.0,02-1266
5686,1.0,02-1267
5687,2.0,02-1268
5688,-1.0,02-1269
5689,-1.0,02-1271
5690,-1.0,02-1272
5691,-1.0,02-1273
5692,1.0,02-1274
5693,8.0,02-1275
5694,2.0,02-1276
5695,1.0,02-1277
5696,22.0,02-1278
5697,1.0,02-1279
5698,0.0,02-1281
5699,20.0,02-1282
5700,4.0,02-1283
5701,1.0,02-1284
5702,-1.0,02-1285
5703,-1.0,02-1286
5704,18.0,02-1287
5705,-1.0,02-1288
5706,-1.0,02-1289
5707,-1.0,02-1291
5708,-1.0,02-1292
5709,-1.0,02-1293
5710,30.0,02-1294
5711,-1.0,02-1295
5712,-1.0,02-1296
5713,0.0,02-1297
5714,80.0,02-1298
5715,-1.0,02-1299
5716,9.0,02-1301
5717,80.0,02-1302
5718,80.0,02-1303
5719,3.0,02-1304
5720,3.0,02-1305
5721,2.0,02-1306
5722,2.0,02-1307
5723,3.0,02-1308
5724,34.0,02-1309
5725,24.0,02-1311
5726,6.0,02-1312
5727,-1.0,02-1313
5728,-1.0,02-1314
5729,-1.0,02-1315
5730,-1.0,02-1316
5731,-1.0,02-1317
5732,-1.0,02-1318
5733,-1.0,02-1319
5734,0.0,02-1321
5735,-1.0,02-1322
5736,36.0,02-1323
5737,11.0,02-1324
5738,-1.0,02-1325
5739,-1.0,02-1326
5740,22.0,02-1327
5741,-1.0,02-1328
5742,-1.0,02-1329
5743,11.0,02-1331
5744,-1.0,02-1332
5745,-1.0,02-1333
5746,-1.0,02-1334
5747,5.0,02-1335
5748,-1.0,02-1336
5749,5.0,02-1337
5750,-1.0,02-1338
5751,3.0,02-1339
5752,-1.0,02-1341
5753,15.0,02-1342
5754,-1.0,02-1343
5755,38.0,02-1344
5756,22.0,02-1345
5757,-1.0,02-1346
5758,-1.0,02-1347
5759,5.0,02-1348
5760,-1.0,02-1349
5761,-1.0,02-1351
5762,5.0,02-1352
5763,6.0,02-1353
5764,25.0,02-1354
5765,-1.0,02-1355
5766,-1.0,02-1356
5767,53.0,02-1357
5768,52.0,02-1358
5769,2.0,02-1359
5770,19.0,02-1361
5771,29.0,02-1362
5772,-1.0,02-1363
5773,-1.0,02-1364
5774,-1.0,02-1365
5775,-1.0,02-1366
5776,6.0,02-1367
5777,38.0,02-1368
5778,1.0,02-1369
5779,43.0,02-1371
5780,-1.0,02-1372
5781,30.0,02-1373
5782,-1.0,02-1374
5783,33.0,02-1375
5784,-1.0,02-1376
5785,-1.0,02-1377
5786,15.0,02-1378
5787,86.0,02-1379
5788,1.0,02-1381
5789,-1.0,02-1382
5790,60.0,02-1383
5791,-1.0,02-1384
5792,0.0,02-1385
5793,-1.0,02-1386
5794,-1.0,02-1387
5795,11.0,02-1388
5796,96.0,02-1389
5797,6.0,02-1391
5798,0.0,02-1392
5799,51.0,02-1393
5800,4.0,02-1394
5801,-1.0,02-1395
5802,-1.0,02-1396
5803,-1.0,02-1397
5804,0.0,02-1398
5805,-1.0,02-1399
5806,0.0,02-1401
5807,0.0,02-1402
5808,11.0,02-1403
5809,-1.0,02-1404
5810,-1.0,02-1405
5811,0.0,02-1406
5812,7.0,02-1407
5813,-1.0,02-1408
5814,53.0,02-1409
5815,-1.0,02-1411
5816,-1.0,02-1412
5817,1.0,02-1413
5818,-1.0,02-1414
5819,11.0,02-1415
5820,-1.0,02-1416
5821,8.0,02-1417
5822,39.0,02-1418
5823,21.0,02-1419
5824,53.0,02-1421
5825,58.0,02-1422
5826,10.0,02-1423
5827,46.0,02-1424
5828,4.0,02-1425
5829,11.0,02-1426
5830,-1.0,02-1427
5831,10.0,02-1428
5832,-1.0,02-1429
5833,-1.0,02-1431
5834,-1.0,02-1432
5835,1.0,02-1433
5836,-1.0,02-1434
5837,36.0,02-1435
5838,-1.0,02-1436
5839,-1.0,02-1437
5840,57.0,02-1438
5841,8.0,02-1439
5842,-1.0,02-1441
5843,55.0,02-1442
5844,5.0,02-1443
5845,-1.0,02-1444
5846,78.0,02-1445
5847,49.0,02-1446
5848,78.0,02-1447
5849,48.0,02-1448
5850,88.0,02-1449
5851,51.0,02-1451
5852,36.0,02-1452
5853,1.0,02-1453
5854,38.0,02-1454
5855,-1.0,02-1455
5856,-1.0,02-1456
5857,-1.0,02-1457
5858,-1.0,02-1458
5859,47.0,02-1459
5860,-1.0,02-1461
5861,-1.0,02-1462
5862,-1.0,02-1463
5863,-1.0,02-1464
5864,-1.0,02-1465
5865,34.0,02-1466
5866,21.0,02-1467
5867,24.0,02-1468
5868,-1.0,02-1469
5869,-1.0,02-1471
5870,15.0,02-1472
5871,-1.0,02-1473
5872,11.0,02-1474
5873,5.0,02-1475
5874,1.0,02-1476
5875,-1.0,02-1477
5876,32.0,02-1478
5877,-1.0,02-1479
5878,-1.0,02-1481
5879,3.0,02-1482
5880,5.0,03-0001
5881,35.0,03-0002
5882,21.0,03-0003
5883,-1.0,03-0004
5884,20.0,03-0005
5885,18.0,03-0006
5886,8.0,03-0007
5887,40.0,03-0008
5888,27.0,03-0009
5889,27.0,03-0011
5890,-1.0,03-0012
5891,8.0,03-0013
5892,2.0,03-0014
5893,-1.0,03-0015
5894,-1.0,03-0016
5895,11.0,03-0017
5896,73.0,03-0018
5897,2.0,03-0019
5898,-1.0,03-0021
5899,63.0,03-0022
5900,98.0,03-0023
5901,59.0,03-0024
5902,59.0,03-0025
5903,24.0,03-0026
5904,-1.0,03-0027
5905,-1.0,03-0028
5906,10.0,03-0029
5907,37.0,03-0031
5908,8.0,03-0032
5909,12.0,03-0033
5910,-1.0,03-0034
5911,-1.0,03-0035
5912,55.0,03-0036
5913,8.0,03-0039
5914,34.0,03-0041
5915,5.0,03-0042
5916,-1.0,03-0043
5917,27.0,03-0044
5918,23.0,03-0045
5919,21.0,03-0046
5920,21.0,03-0047
5921,21.0,03-0048
5922,46.0,03-0049
5923,-1.0,03-0051
5924,5.0,03-0052
5925,2.0,03-0053
5926,-1.0,03-0054
5927,45.0,03-0055
5928,-1.0,03-0056
5929,20.0,03-0057
5930,42.0,03-0058
5931,-1.0,03-0059
5932,26.0,03-0061
5933,79.0,03-0062
5934,1.0,03-0063
5935,13.0,03-0064
5936,-1.0,03-0065
5937,34.0,03-0066
5938,-1.0,03-0067
5939,5.0,03-0068
5940,5.0,03-0069
5941,-1.0,03-0071
5942,-1.0,03-0072
5943,20.0,03-0073
5944,-1.0,03-0074
5945,29.0,03-0075
5946,8.0,03-0076
5947,18.0,03-0077
5948,20.0,03-0078
5949,2.0,03-0079
5950,48.0,03-0081
5951,-1.0,03-0082
5952,6.0,03-0083
5953,1.0,03-0084
5954,19.0,03-0085
5955,-1.0,03-0086
5956,-1.0,03-0087
5957,-1.0,03-0088
5958,5.0,03-0089
5959,-1.0,03-0091
5960,5.0,03-0092
5961,17.0,03-0093
5962,46.0,03-0094
5963,68.0,03-0095
5964,1.0,03-0096
5965,39.0,03-0097
5966,-1.0,03-0098
5967,-1.0,03-0099
5968,-1.0,03-0101
5969,-1.0,03-0102
5970,4.0,03-0103
5971,4.0,03-0104
5972,35.0,03-0105
5973,-1.0,03-0106
5974,4.0,03-0107
5975,-1.0,03-0108
5976,6.0,03-0109
5977,2.0,03-0111
5978,7.0,03-0112
5979,2.0,03-0113
5980,35.0,03-0114
5981,4.0,03-0115
5982,35.0,03-0116
5983,4.0,03-0117
5984,19.0,03-0118
5985,42.0,03-0119
5986,6.0,03-0121
5987,0.0,03-0122
5988,4.0,03-0123
5989,15.0,03-0124
5990,2.0,03-0125
5991,2.0,03-0126
5992,0.0,03-0127
5993,46.0,03-0128
5994,60.0,03-0129
5995,12.0,03-0131
5996,-1.0,03-0132
5997,-1.0,03-0133
5998,3.0,03-0134
5999,-1.0,03-0135
6000,5.0,03-0136
6001,32.0,03-0137
6002,3.0,03-0138
6003,-1.0,03-0139
6004,-1.0,03-0141
6005,10.0,03-0142
6006,-1.0,03-0143
6007,-1.0,03-0144
6008,-1.0,03-0145
6009,30.0,03-0146
6010,-1.0,03-0147
6011,-1.0,03-0148
6012,54.0,03-0149
6013,54.0,03-0151
6014,54.0,03-0152
6015,-1.0,03-0153
6016,30.0,03-0154
6017,-1.0,03-0155
6018,-1.0,03-0156
6019,2.0,03-0157
6020,0.0,03-0158
6021,8.0,03-0159
6022,20.0,03-0161
6023,-1.0,03-0162
6024,34.0,03-0163
6025,47.0,03-0164
6026,-1.0,03-0165
6027,-1.0,03-0166
6028,-1.0,03-0167
6029,-1.0,03-0168
6030,3.0,03-0169
6031,44.0,03-0171
6032,-1.0,03-0172
6033,-1.0,03-0173
6034,-1.0,03-0174
6035,-1.0,03-0175
6036,0.0,03-0176
6037,-1.0,03-0177
6038,0.0,03-0178
6039,20.0,03-0179
6040,-1.0,03-0181
6041,2.0,03-0182
6042,3.0,03-0183
6043,-1.0,03-0184
6044,-1.0,03-0185
6045,16.0,03-0186
6046,27.0,03-0187
6047,67.0,03-0188
6048,6.0,03-0189
6049,-1.0,03-0191
6050,93.0,03-0192
6051,23.0,03-0194
6052,12.0,03-0195
6053,7.0,03-0196
6054,-1.0,03-0197
6055,-1.0,03-0198
6056,59.0,03-0199
6057,-1.0,03-0201
6058,73.0,03-0202
6059,3.0,03-0203
6060,-1.0,03-0204
6061,-1.0,03-0205
6062,-1.0,03-0206
6063,44.0,03-0207
6064,14.0,03-0208
6065,-1.0,03-0209
6066,7.0,03-0211
6067,-1.0,03-0212
6068,-1.0,03-0213
6069,-1.0,03-0214
6070,-1.0,03-0215
6071,-1.0,03-0216
6072,5.0,03-0217
6073,-1.0,03-0218
6074,-1.0,03-0219
6075,23.0,03-0221
6076,-1.0,03-0222
6077,-1.0,03-0223
6078,18.0,03-0224
6079,44.0,03-0225
6080,-1.0,03-0226
6081,21.0,03-0227
6082,-1.0,03-0228
6083,-1.0,03-0229
6084,0.0,03-0231
6085,31.0,03-0232
6086,11.0,03-0233
6087,8.0,03-0234
6088,-1.0,03-0235
6089,9.0,03-0236
6090,0.0,03-0237
6091,3.0,03-0238
6092,-1.0,03-0239
6093,3.0,03-0241
6094,0.0,03-0242
6095,47.0,03-0243
6096,80.0,03-0244
6097,-1.0,03-0245
6098,-1.0,03-0246
6099,0.0,03-0247
6100,92.0,03-0248
6101,-1.0,03-0249
6102,10.0,03-0251
6103,0.0,03-0252
6104,-1.0,03-0253
6105,0.0,03-0254
6106,0.0,03-0255
6107,-1.0,03-0256
6108,-1.0,03-0257
6109,-1.0,03-0258
6110,-1.0,03-0259
6111,12.0,03-0261
6112,1.0,03-0262
6113,1.0,03-0263
6114,-1.0,03-0264
6115,1.0,03-0265
6116,26.0,03-0266
6117,3.0,03-0267
6118,44.0,03-0268
6119,40.0,03-0269
6120,8.0,03-0271
6121,-1.0,03-0272
6122,-1.0,03-0273
6123,-1.0,03-0274
6124,-1.0,03-0275
6125,3.0,03-0276
6126,-1.0,03-0277
6127,2.0,03-0278
6128,27.0,03-0279
6129,0.0,03-0281
6130,1.0,03-0282
6131,0.0,03-0283
6132,-1.0,03-0284
6133,-1.0,03-0285
6134,-1.0,03-0286
6135,-1.0,03-0287
6136,10.0,03-0288
6137,2.0,03-0289
6138,3.0,03-0291
6139,5.0,03-0292
6140,5.0,03-0293
6141,-1.0,03-0294
6142,5.0,03-0295
6143,30.0,03-0296
6144,3.0,03-0297
6145,6.0,03-0298
6146,-1.0,03-0299
6147,16.0,03-0301
6148,-1.0,03-0302
6149,24.0,03-0303
6150,23.0,03-0304
6151,0.0,03-0305
6152,77.0,03-0306
6153,6.0,03-0307
6154,-1.0,03-0308
6155,15.0,03-0309
6156,15.0,03-0311
6157,10.0,03-0312
6158,10.0,03-0313
6159,-1.0,03-0314
6160,59.0,03-0315
6161,-1.0,03-0316
6162,33.0,03-0317
6163,-1.0,03-0318
6164,-1.0,03-0319
6165,-1.0,03-0321
6166,1.0,03-0322
6167,-1.0,03-0323
6168,2.0,03-0324
6169,-1.0,03-0325
6170,-1.0,03-0326
6171,0.0,03-0327
6172,4.0,03-0329
6173,49.0,03-0331
6174,-1.0,03-0332
6175,23.0,03-0333
6176,-1.0,03-0334
6177,41.0,03-0335
6178,4.0,03-0336
6179,-1.0,03-0337
6180,12.0,03-0338
6181,-1.0,03-0339
6182,-1.0,03-0341
6183,-1.0,03-0342
6184,48.0,03-0343
6185,3.0,03-0344
6186,23.0,03-0345
6187,6.0,03-0346
6188,3.0,03-0347
6189,-1.0,03-0348
6190,-1.0,03-0349
6191,67.0,03-0351
6192,-1.0,03-0352
6193,11.0,03-0353
6194,9.0,03-0354
6195,2.0,03-0355
6196,-1.0,03-0356
6197,60.0,03-0357
6198,-1.0,03-0358
6199,8.0,03-0359
6200,7.0,03-0361
6201,-1.0,03-0362
6202,24.0,03-0363
6203,10.0,03-0364
6204,1.0,03-0365
6205,-1.0,03-0366
6206,-1.0,03-0367
6207,56.0,03-0368
6208,-1.0,03-0369
6209,4.0,03-0371
6210,7.0,03-0372
6211,-1.0,03-0373
6212,79.0,03-0374
6213,1.0,03-0375
6214,2.0,03-0376
6215,-1.0,03-0377
6216,13.0,03-0378
6217,5.0,03-0379
6218,-1.0,03-0381
6219,-1.0,03-0382
6220,22.0,03-0383
6221,0.0,03-0384
6222,3.0,03-0385
6223,20.0,03-0386
6224,19.0,03-0387
6225,-1.0,03-0388
6226,1.0,03-0389
6227,58.0,03-0391
6228,2.0,03-0392
6229,56.0,03-0393
6230,0.0,03-0394
6231,-1.0,03-0395
6232,11.0,03-0396
6233,77.0,03-0397
6234,-1.0,03-0398
6235,2.0,03-0399
6236,-1.0,03-0401
6237,-1.0,03-0402
6238,-1.0,03-0403
6239,12.0,03-0404
6240,3.0,03-0405
6241,1.0,03-0406
6242,3.0,03-0407
6243,-1.0,03-0408
6244,-1.0,03-0409
6245,-1.0,03-0411
6246,-1.0,03-0412
6247,59.0,03-0413
6248,12.0,03-0414
6249,-1.0,03-0415
6250,-1.0,03-0416
6251,60.0,03-0417
6252,-1.0,03-0418
6253,27.0,03-0419
6254,-1.0,03-0421
6255,-1.0,03-0422
6256,-1.0,03-0423
6257,-1.0,03-0424
6258,7.0,03-0425
6259,79.0,03-0426
6260,3.0,03-0427
6261,-1.0,03-0428
6262,1.0,03-0429
6263,3.0,03-0431
6264,4.0,03-0432
6265,80.0,03-0433
6266,2.0,03-0434
6267,-1.0,03-0435
6268,17.0,03-0436
6269,-1.0,03-0437
6270,3.0,03-0438
6271,24.0,03-0439
6272,-1.0,03-0441
6273,1.0,03-0442
6274,-1.0,03-0443
6275,-1.0,03-0444
6276,2.0,03-0445
6277,3.0,03-0446
6278,36.0,03-0447
6279,1.0,03-0448
6280,4.0,03-0449
6281,-1.0,03-0451
6282,2.0,03-0452
6283,-1.0,03-0453
6284,34.0,03-0454
6285,-1.0,03-0455
6286,42.0,03-0456
6287,26.0,03-0457
6288,10.0,03-0458
6289,15.0,03-0459
6290,-1.0,03-0461
6291,-1.0,03-0462
6292,1.0,03-0463
6293,-1.0,03-0464
6294,11.0,03-0465
6295,-1.0,03-0466
6296,-1.0,03-0467
6297,-1.0,03-0468
6298,-1.0,03-0469
6299,55.0,03-0471
6300,-1.0,03-0472
6301,-1.0,03-0473
6302,-1.0,03-0474
6303,30.0,03-0475
6304,10.0,03-0476
6305,5.0,03-0477
6306,-1.0,03-0478
