,Narrative,document number
279,52.0,96-0021
280,-1.0,96-0022
281,34.0,96-0023
282,0.0,96-0024
283,0.0,96-0025
284,-1.0,96-0026
285,37.0,96-0027
286,-1.0,96-0028
287,-1.0,96-0029
288,0.0,96-0031
289,1.0,96-0032
290,52.0,96-0033
291,-1.0,96-0034
292,1.0,96-0035
293,12.0,96-0036
294,-1.0,96-0037
295,-1.0,96-0038
296,-1.0,96-0039
297,55.0,96-0041
298,73.0,96-0042
299,34.0,96-0043
300,-1.0,96-0044
301,0.0,96-0045
302,32.0,96-0046
303,34.0,96-0047
304,-1.0,96-0048
305,6.0,96-0049
306,-1.0,96-0051
307,30.0,96-0053
308,-1.0,96-0054
309,-1.0,96-0055
310,-1.0,96-0056
311,2.0,96-0057
312,-1.0,96-0058
313,-1.0,96-0059
314,-1.0,96-0061
315,-1.0,96-0062
316,-1.0,96-0063
317,20.0,96-0064
318,17.0,96-0065
319,-1.0,96-0066
320,1.0,96-0067
321,52.0,96-0068
322,-1.0,96-0069
323,94.0,96-0071
324,40.0,96-0072
325,40.0,96-0073
326,-1.0,96-0074
327,-1.0,96-0075
328,33.0,96-0076
329,0.0,96-0077
330,-1.0,96-0078
331,1.0,96-0079
332,13.0,96-0081
333,31.0,96-0082
334,0.0,96-0083
335,5.0,96-0084
336,-1.0,96-0085
337,-1.0,96-0086
338,27.0,96-0087
339,-1.0,96-0088
340,1.0,96-0089
341,-1.0,96-0091
342,15.0,96-0092
343,25.0,96-0093
344,3.0,96-0094
345,-1.0,96-0095
346,59.0,96-0096
347,-1.0,97-0001
348,50.0,97-0002
349,-1.0,97-0003
350,-1.0,97-0004
351,14.0,97-0005
352,4.0,97-0006
353,-1.0,97-0007
354,4.0,97-0008
355,0.0,97-0009
356,-1.0,97-0011
357,76.0,97-0012
358,-1.0,97-0013
359,80.0,97-0014
360,-1.0,97-0015
361,68.0,97-0016
362,-1.0,97-0017
363,-1.0,97-0018
364,13.0,97-0019
365,-1.0,97-0021
366,-1.0,97-0022
367,0.0,97-0023
368,7.0,97-0024
369,-1.0,97-0025
370,-1.0,97-0026
371,-1.0,97-0027
372,-1.0,97-0028
373,14.0,97-0029
374,-1.0,97-0031
375,14.0,97-0032
376,16.0,97-0033
377,-1.0,97-0034
378,12.0,97-0035
379,1.0,97-0036
380,85.0,97-0037
381,-1.0,97-0038
382,-1.0,97-0039
383,5.0,97-0041
384,-1.0,97-0042
385,-1.0,97-0043
386,12.0,97-0044
387,-1.0,97-0045
388,46.0,97-0046
389,3.0,97-0047
390,-1.0,97-0048
391,3.0,97-0049
392,2.0,97-0051
393,12.0,97-0052
394,-1.0,97-0053
395,29.0,97-0054
396,15.0,97-0055
397,-1.0,97-0056
398,75.0,97-0057
399,0.0,97-0058
400,-1.0,97-0059
401,1.0,97-0061
402,36.0,97-0062
403,0.0,97-0063
404,8.0,97-0064
405,-1.0,97-0065
406,8.0,97-0066
407,-1.0,97-0067
408,14.0,97-0068
409,-1.0,97-0069
410,61.0,97-0071
411,76.0,97-0072
412,-1.0,97-0073
413,-1.0,97-0074
414,-1.0,97-0075
415,-1.0,97-0076
416,-1.0,97-0077
417,2.0,97-0078
418,33.0,97-0079
419,29.0,97-0081
420,-1.0,97-0082
421,-1.0,97-0083
422,-1.0,97-0084
423,13.0,97-0085
424,29.0,97-0086
425,-1.0,97-0087
426,14.0,97-0088
427,8.0,97-0089
428,37.0,97-0091
429,0.0,97-0092
430,5.0,97-0093
431,-1.0,97-0094
432,2.0,97-0095
433,-1.0,97-0096
434,4.0,97-0097
435,-1.0,97-0098
436,-1.0,97-0099
437,15.0,97-0101
438,32.0,97-0102
439,65.0,97-0103
440,7.0,97-0104
441,16.0,97-0105
442,-1.0,97-0106
443,-1.0,97-0107
444,-1.0,97-0108
445,-1.0,97-0109
446,7.0,97-0111
447,10.0,97-0112
448,-1.0,97-0113
449,-1.0,97-0114
450,49.0,97-0115
451,19.0,97-0116
452,1.0,97-0117
453,14.0,97-0118
454,67.0,97-0119
455,81.0,97-0121
456,24.0,97-0122
457,1.0,97-0123
458,5.0,97-0124
459,34.0,97-0125
460,50.0,97-0126
461,10.0,97-0127
462,16.0,97-0128
463,-1.0,97-0129
464,-1.0,97-0131
465,-1.0,97-0132
466,-1.0,97-0133
467,0.0,97-0134
468,51.0,97-0135
469,5.0,97-0136
470,-1.0,97-0137
471,-1.0,97-0138
472,-1.0,97-0139
473,-1.0,97-0141
474,7.0,97-0142
475,-1.0,97-0143
476,-1.0,97-0144
477,-1.0,97-0145
478,1.0,97-0146
479,-1.0,97-0147
480,32.0,97-0148
481,26.0,97-0149
482,2.0,97-0151
483,-1.0,97-0152
484,50.0,97-0153
485,-1.0,97-0154
486,-1.0,97-0155
487,-1.0,97-0156
488,-1.0,97-0157
489,0.0,97-0158
490,0.0,97-0159
491,19.0,97-0161
492,19.0,97-0162
493,-1.0,97-0163
494,2.0,97-0164
495,-1.0,97-0165
496,8.0,97-0166
497,46.0,97-0167
498,8.0,97-0168
499,-1.0,97-0169
500,-1.0,97-0171
501,-1.0,97-0172
502,0.0,97-0173
503,8.0,97-0174
504,-1.0,97-0175
505,1.0,97-0176
506,0.0,97-0177
507,-1.0,97-0178
508,-1.0,97-0179
509,1.0,97-0181
510,2.0,97-0182
511,8.0,97-0183
512,8.0,97-0184
513,5.0,97-0185
514,24.0,97-0186
515,-1.0,97-0187
516,-1.0,97-0188
517,7.0,97-0189
518,36.0,97-0191
519,24.0,97-0192
520,-1.0,97-0193
521,26.0,97-0194
522,39.0,97-0195
523,0.0,97-0196
524,-1.0,97-0197
525,0.0,97-0198
526,0.0,97-0199
527,77.0,97-0201
528,7.0,97-0202
529,15.0,97-0203
530,7.0,97-0204
531,58.0,97-0205
532,13.0,97-0206
533,2.0,97-0207
534,4.0,97-0208
535,-1.0,97-0209
536,52.0,97-0211
537,-1.0,97-0212
538,49.0,97-0213
539,-1.0,97-0214
540,-1.0,97-0215
541,-1.0,97-0216
542,14.0,97-0217
543,0.0,97-0218
544,-1.0,97-0219
545,56.0,97-0221
546,-1.0,97-0222
547,-1.0,97-0223
548,45.0,97-0224
549,16.0,97-0225
550,48.0,97-0226
551,34.0,97-0227
552,0.0,97-0228
553,-1.0,97-0229
554,-1.0,97-0231
555,-1.0,97-0232
556,-1.0,97-0233
557,-1.0,97-0234
558,15.0,97-0235
559,-1.0,97-0236
560,-1.0,97-0237
561,-1.0,97-0238
562,9.0,97-0239
563,-1.0,97-0241
564,7.0,97-0242
565,7.0,97-0243
566,7.0,97-0244
567,0.0,97-0245
568,37.0,97-0246
569,2.0,97-0247
570,-1.0,97-0248
571,-1.0,97-0249
572,34.0,97-0251
573,0.0,97-0252
574,-1.0,97-0253
575,19.0,97-0254
576,-1.0,97-0255
577,60.0,97-0256
578,-1.0,97-0257
579,-1.0,97-0258
580,7.0,97-0259
581,1.0,97-0261
582,24.0,97-0262
583,27.0,98-0001
584,0.0,98-0002
585,10.0,98-0003
586,26.0,98-0004
587,-1.0,98-0005
588,-1.0,98-0006
589,32.0,98-0007
590,32.0,98-0008
591,4.0,98-0009
592,-1.0,98-0011
593,50.0,98-0012
594,-1.0,98-0013
595,-1.0,98-0014
596,24.0,98-0015
597,-1.0,98-0016
598,-1.0,98-0017
599,31.0,98-0018
600,6.0,98-0019
601,-1.0,98-0021
602,-1.0,98-0022
603,27.0,98-0023
604,9.0,98-0024
605,27.0,98-0025
606,-1.0,98-0026
607,2.0,98-0027
608,-1.0,98-0028
609,27.0,98-0029
610,-1.0,98-0031
611,1.0,98-0032
612,63.0,98-0033
613,33.0,98-0034
614,77.0,98-0035
615,43.0,98-0036
616,-1.0,98-0037
617,-1.0,98-0038
618,-1.0,98-0039
619,-1.0,98-0041
620,14.0,98-0042
621,-1.0,98-0043
622,7.0,98-0044
623,0.0,98-0045
624,-1.0,98-0046
625,27.0,98-0047
626,27.0,98-0048
627,2.0,98-0049
628,-1.0,98-0051
629,-1.0,98-0052
630,45.0,98-0053
631,1.0,98-0054
632,-1.0,98-0055
633,24.0,98-0056
634,12.0,98-0057
635,1.0,98-0058
636,-1.0,98-0059
637,33.0,98-0061
638,-1.0,98-0062
639,14.0,98-0063
640,14.0,98-0064
641,-1.0,98-0065
642,34.0,98-0066
643,-1.0,98-0067
644,-1.0,98-0068
645,-1.0,98-0069
646,17.0,98-0071
647,17.0,98-0072
648,23.0,98-0073
649,-1.0,98-0074
650,-1.0,98-0075
651,67.0,98-0076
652,-1.0,98-0077
653,-1.0,98-0078
654,10.0,98-0079
655,10.0,98-0081
656,37.0,98-0082
657,-1.0,98-0083
658,-1.0,98-0084
659,-1.0,98-0085
660,-1.0,98-0086
661,-1.0,98-0087
662,-1.0,98-0088
663,51.0,98-0089
664,23.0,98-0091
