,COMPLEX_NAME,CPLX_INCIDENT_ID,INCIDENT_NUMBER,INCIDENT_NUMBER_CORRECTED,INCIDENT_NAME,INCIDENT_NAME_CORRECTED,START_YEAR,INC_MGMT_NUM_SITREPS,FOD_LIST
0,072613 LIGHTNING COMPLEX†,2013_OR-712S-011914_BRIMSTONE FIRE,OR-712S-011914,OR-712S-011914,BRIMESTONE FIRE,BRIMSTONE FIRE,2013,2,"['{""ID"" : 201777637, ""MTBS_ID"" : ""OR4261812347620130726(BRIMSTONE FIRE)"", ""COORDS"" : (42.6173, -123.4792), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 2298.0, ""DISC"" : 207, ""CONT"" : 335.0}']"
1,072613 LIGHTNING COMPLEX†,2013_OR-712S-011914_BRIMSTONE FIRE,OR-712S-011914,OR-712S-011914,BRIMSTONE FIRE,BRIMSTONE FIRE,2013,11,"['{""ID"" : 201777637, ""MTBS_ID"" : ""OR4261812347620130726(BRIMSTONE FIRE)"", ""COORDS"" : (42.6173, -123.4792), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 2298.0, ""DISC"" : 207, ""CONT"" : 335.0}']"
2,107 COMPLEX,2004_MN-MNS-3340170_107 COMPLEX,MN-MNS-3340170,MN-MNS-3340170,107 COMPLEX,107 COMPLEX,2004,2,"['{""ID"" : 525756, ""COORDS"" : (45.80466114, -93.13317145), ""CAUSE"" : ""6(Railroad)"", ""SIZE"" : 835.0, ""DISC"" : 94, ""CONT"" : ""unknown""}', '{""ID"" : 525758, ""COORDS"" : (45.97113544, -93.03365062), ""CAUSE"" : ""6(Railroad)"", ""SIZE"" : 244.0, ""DISC"" : 94, ""CONT"" : ""unknown""}', '{""ID"" : 525761, ""COORDS"" : (46.0051703, -92.98969326), ""CAUSE"" : ""6(Railroad)"", ""SIZE"" : 20.0, ""DISC"" : 94, ""CONT"" : ""unknown""}', '{""ID"" : 525762, ""COORDS"" : (45.99486494, -92.9901084), ""CAUSE"" : ""6(Railroad)"", ""SIZE"" : 75.0, ""DISC"" : 94, ""CONT"" : ""unknown""}', '{""ID"" : 525764, ""COORDS"" : (45.9317222, -93.08598239), ""CAUSE"" : ""6(Railroad)"", ""SIZE"" : 5.0, ""DISC"" : 94, ""CONT"" : ""unknown""}', '{""ID"" : 525765, ""COORDS"" : (45.95363095, -93.07035113), ""CAUSE"" : ""6(Railroad)"", ""SIZE"" : 1.0, ""DISC"" : 94, ""CONT"" : ""unknown""}', '{""ID"" : 525766, ""COORDS"" : (45.95367004, -93.06513807), ""CAUSE"" : ""6(Railroad)"", ""SIZE"" : 1.0, ""DISC"" : 94, ""CONT"" : ""unknown""}', '{""ID"" : 525785, ""COORDS"" : (45.9642084, -93.04941778), ""CAUSE"" : ""6(Railroad)"", ""SIZE"" : 5.0, ""DISC"" : 94, ""CONT"" : ""unknown""}', '{""ID"" : 526751, ""COORDS"" : (45.89174242, -93.10687883), ""CAUSE"" : ""6(Railroad)"", ""SIZE"" : 358.0, ""DISC"" : 94, ""CONT"" : ""unknown""}', '{""ID"" : 526752, ""COORDS"" : (45.92449556, -93.09635329), ""CAUSE"" : ""6(Railroad)"", ""SIZE"" : 298.0, ""DISC"" : 94, ""CONT"" : ""unknown""}', '{""ID"" : 526753, ""COORDS"" : (45.88805621, -93.11209161), ""CAUSE"" : ""6(Railroad)"", ""SIZE"" : 26.0, ""DISC"" : 94, ""CONT"" : ""unknown""}', '{""ID"" : 526754, ""COORDS"" : (45.84783114, -93.12241722), ""CAUSE"" : ""6(Railroad)"", ""SIZE"" : 93.0, ""DISC"" : 94, ""CONT"" : ""unknown""}']"
3,1148 COMPLEX,2009_TX-TXS-990097_1148 COMPLEX,TX-TXS-990097,TX-TXS-990097,1148 COMPLEX,1148 COMPLEX,2009,7,"['{""ID"" : 201335337, ""COORDS"" : (32.89638889, -98.51388889), ""CAUSE"" : ""9(Miscellaneous)"", ""SIZE"" : 700.0, ""DISC"" : 99, ""CONT"" : 106.0}']"
4,2 HORSE MOUNTAIN COMPLEX,2000_OR-PRD-587_2 HORSE MOUNTAIN COMPLEX,OR-PRD-587,OR-PRD-587,2 HORSE MOUNTAIN,2 HORSE MOUNTAIN COMPLEX,2000,3,"['{""ID"" : 350285, ""MTBS_ID"" : ""OR4487212039320000718(2 HORSE MOUNTAIN)"", ""COORDS"" : (44.8771, -120.4214), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 10470.0, ""DISC"" : 200, ""CONT"" : 210.0}', '{""ID"" : 350288, ""COORDS"" : (44.816, -120.0089), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 140.0, ""DISC"" : 201, ""CONT"" : 206.0}']"
5,2 HORSE MOUNTAIN COMPLEX,2000_OR-PRD-587_2 HORSE MOUNTAIN COMPLEX,OR-PRD-587,OR-PRD-587,2 HORSE MOUNTAIN COMPLEX,2 HORSE MOUNTAIN COMPLEX,2000,6,"['{""ID"" : 350285, ""MTBS_ID"" : ""OR4487212039320000718(2 HORSE MOUNTAIN)"", ""COORDS"" : (44.8771, -120.4214), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 10470.0, ""DISC"" : 200, ""CONT"" : 210.0}', '{""ID"" : 350288, ""COORDS"" : (44.816, -120.0089), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 140.0, ""DISC"" : 201, ""CONT"" : 206.0}']"
6,2ND BAYOU COMPLEX,2002_LA-SBR-02019_2ND BAYOU COMPLEX,LA-SBR-02019,LA-SBR-02019,2ND BAYOU COMPLEX,2ND BAYOU COMPLEX,2002,4,"['{""ID"" : 377246, ""MTBS_ID"" : ""LA2979509355120020712(BAYOU CPLX)"", ""COORDS"" : (29.8427778, -93.5), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 5414.0, ""DISC"" : 203, ""CONT"" : ""unknown""}']"
7,380 WEST COMPLEX,2008_TX-TXS-88108_380 WEST COMPLEX,TX-TXS-88108,TX-TXS-88108,380 WEST COMPLEX,380 WEST COMPLEX,2008,2,
8,4TH COMPLEX,2007_SD-PRA-070427_4TH COMPLEX,SD-PRA-070427,SD-PRA-070427,4TH COMPLEX,4TH COMPLEX,2007,2,"['{""ID"" : 270729, ""COORDS"" : (43.0256, -102.5589), ""CAUSE"" : ""10(Fireworks)"", ""SIZE"" : 1123.0, ""DISC"" : 180, ""CONT"" : 186.0}']"
9,576 COMPLEX,2002_AR-OUF-02045_576 COMPLEX,AR-OUF-02045,AR-OUF-02045,576,576 COMPLEX,2002,1,"['{""ID"" : 148725, ""COORDS"" : (34.76083333, -94.31527778), ""CAUSE"" : ""7(Arson)"", ""SIZE"" : 2.0, ""DISC"" : 224, ""CONT"" : 224.0}', '{""ID"" : 148726, ""COORDS"" : (34.76194444, -94.31472222), ""CAUSE"" : ""7(Arson)"", ""SIZE"" : 0.5, ""DISC"" : 224, ""CONT"" : 224.0}', '{""ID"" : 1273434, ""COORDS"" : (34.76055556, -94.39805556), ""CAUSE"" : ""7(Arson)"", ""SIZE"" : 39.0, ""DISC"" : 224, ""CONT"" : 224.0}']"
