,COMPLEX_NAME,CPLX_INCIDENT_ID,INCIDENT_NUMBER,INCIDENT_NUMBER_CORRECTED,INCIDENT_NAME,INCIDENT_NAME_CORRECTED,START_YEAR,INC_MGMT_NUM_SITREPS,FOD_LIST
10,576 COMPLEX,2002_AR-OUF-02045_576 COMPLEX,AR-OUF-02045,AR-OUF-02045,576 COMPLEX,576 COMPLEX,2002,2,"['{""ID"" : 148725, ""COORDS"" : (34.76083333, -94.31527778), ""CAUSE"" : ""7(Arson)"", ""SIZE"" : 2.0, ""DISC"" : 224, ""CONT"" : 224.0}', '{""ID"" : 148726, ""COORDS"" : (34.76194444, -94.31472222), ""CAUSE"" : ""7(Arson)"", ""SIZE"" : 0.5, ""DISC"" : 224, ""CONT"" : 224.0}', '{""ID"" : 1273434, ""COORDS"" : (34.76055556, -94.39805556), ""CAUSE"" : ""7(Arson)"", ""SIZE"" : 39.0, ""DISC"" : 224, ""CONT"" : 224.0}']"
11,730 COMPLEX,2005_TX-TXS-000028_730 COMPLEX,TX-TXS-000028,TX-TXS-000028,730 COMPLEX,730 COMPLEX,2005,3,"['{""ID"" : 201940033, ""MTBS_ID"" : ""TX3307909782420051227(730 COMPLEX)"", ""COORDS"" : (33.068333, -97.566111), ""CAUSE"" : ""13(Missing/Undefined)"", ""SIZE"" : 2600.0, ""DISC"" : 361, ""CONT"" : 363.0}']"
12,747 COMPLEX,2002_OR-OCF-747_747 COMPLEX,OR-OCF-747,OR-OCF-747,747 COMPLEX,747 COMPLEX,2002,12,"['{""ID"" : 152034, ""MTBS_ID"" : ""OR4433311962820020713(747 COMPLEX (747))"", ""COORDS"" : (44.31972222, -119.63694444), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 16948.0, ""DISC"" : 194, ""CONT"" : 273.0}']"
13,747 COMPLEX,2002_OR-OCF-747_747 COMPLEX,OR-OCF-747,OR-OCF-747,INCIDENT 747,747 COMPLEX,2002,10,"['{""ID"" : 152034, ""MTBS_ID"" : ""OR4433311962820020713(747 COMPLEX (747))"", ""COORDS"" : (44.31972222, -119.63694444), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 16948.0, ""DISC"" : 194, ""CONT"" : 273.0}']"
14,8-MILE COMPLEX,2003_OK-OKS-03-20474_8-MILE COMPLEX,OK-OKS-03-20474,OK-OKS-03-20474,8-MILE COMPLEX,8-MILE COMPLEX,2003,4,"['{""ID"" : 1301131, ""COORDS"" : (34.8, -95.216667), ""CAUSE"" : ""13(Missing/Undefined)"", ""SIZE"" : 473.0, ""DISC"" : 209, ""CONT"" : 211.0}']"
15,8/7 LIGHTNING COMPLEX,2008_OR-952S-01809_8/7 LIGHTNING COMPLEX,OR-952S-01809,OR-952S-01809,8/7 LIGHTNING COMPLEX,8/7 LIGHTNING COMPLEX,2008,2,"['{""ID"" : 914461, ""COORDS"" : (44.47861, -119.07861), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 0.01, ""DISC"" : 220, ""CONT"" : 220.0}']"
16,9-05 COMPLEX,2003_OR-711-000131-04_9-05 COMPLEX,OR-711-000131-04,OR-711-000131-04,9-05 COMPLEX,9-05 COMPLEX,2003,1,
17,9/4 COMPLEX,2011_OR-MAF-011244_9/4 COMPLEX,OR-MAF-011244,OR-MAF-011244,9/4 COMPLEX,9/4 COMPLEX,2011,7,"['{""ID"" : 20022074, ""COORDS"" : (44.55388889, -118.87444444), ""CAUSE"" : ""7(Arson)"", ""SIZE"" : 0.1, ""DISC"" : 247, ""CONT"" : 247.0}', '{""ID"" : 20022132, ""COORDS"" : (44.62527778, -118.98805556), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 0.25, ""DISC"" : 247, ""CONT"" : 248.0}', '{""ID"" : 20022133, ""COORDS"" : (44.60916667, -118.9725), ""CAUSE"" : ""7(Arson)"", ""SIZE"" : 0.42, ""DISC"" : 247, ""CONT"" : 248.0}', '{""ID"" : 20022134, ""COORDS"" : (44.56666667, -119.08361111), ""CAUSE"" : ""7(Arson)"", ""SIZE"" : 84.2, ""DISC"" : 247, ""CONT"" : 257.0}']"
18,ADIRONDACK COMPLEX,1999_NY-NYS-2080299_ADIRONDACK COMPLEX,NY-NYS-2080299,NY-NYS-2080299,ADIRONDACK COMPLEX,ADIRONDACK COMPLEX,1999,3,"['{""ID"" : 15000850, ""COORDS"" : (43.25, -74.16666666), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 70.0, ""DISC"" : 214, ""CONT"" : ""unknown""}']"
19,AEU LIGHTNING COMPLEX,2008_CA-AEU-11845_AEU LIGHTNING COMPLEX,CA-AEU-11845,CA-AEU-11845,AEU LIGHTNING COMPLEX,AEU LIGHTNING COMPLEX,2008,2,
20,AITKIN FIRE COMPLEX,2003_MN-MNS-232001_AITKIN FIRE COMPLEX,MN-MNS-232001,MN-MNS-232001,AITKIN FIRE COMPLEX,AITKIN FIRE COMPLEX,2003,2,
21,AMADOR COMPLEX,2012_CA-AEU-016872_AMADOR COMPLEX,CA-AEU-016872,CA-AEU-016872,AMADOR COMPLEX,AMADOR COMPLEX,2012,9,"['{""ID"" : 201625688, ""COORDS"" : (38.569955, -120.553098), ""CAUSE"" : ""5(Debris Burning)"", ""SIZE"" : 0.1, ""DISC"" : 182, ""CONT"" : ""unknown""}', '{""ID"" : 201625718, ""COORDS"" : (38.50845, -120.610717), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 0.3, ""DISC"" : 205, ""CONT"" : ""unknown""}', '{""ID"" : 201625719, ""COORDS"" : (38.675933, -120.563583), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 1.0, ""DISC"" : 205, ""CONT"" : ""unknown""}', '{""ID"" : 201625722, ""COORDS"" : (38.576833, -120.806), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 0.1, ""DISC"" : 205, ""CONT"" : ""unknown""}', '{""ID"" : 201625724, ""COORDS"" : (38.7755, -120.685833), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 0.1, ""DISC"" : 205, ""CONT"" : ""unknown""}', '{""ID"" : 201625725, ""COORDS"" : (38.364483, -120.636668), ""CAUSE"" : ""9(Miscellaneous)"", ""SIZE"" : 0.02, ""DISC"" : 205, ""CONT"" : ""unknown""}', '{""ID"" : 201625727, ""COORDS"" : (38.3316, -120.676667), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 27.75, ""DISC"" : 205, ""CONT"" : ""unknown""}', '{""ID"" : 201625728, ""COORDS"" : (38.530833, -120.606), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 0.2, ""DISC"" : 205, ""CONT"" : ""unknown""}', '{""ID"" : 201625729, ""COORDS"" : (38.540333, -120.643667), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 2.7, ""DISC"" : 205, ""CONT"" : ""unknown""}']"
22,AMERICAN RIVER COMPLEX,2008_CA-TNF-1011_AMERICAN RIVER COMPLEX,CA-TNF-1011,CA-TNF-1011,AMERICAN RIVER COMPLEX,AMERICAN RIVER COMPLEX,2008,79,"['{""ID"" : 29961, ""COORDS"" : (39.25055556, -120.63), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 1.0, ""DISC"" : 173, ""CONT"" : 173.0}', '{""ID"" : 30246, ""COORDS"" : (39.04833333, -120.65944444), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 3.0, ""DISC"" : 173, ""CONT"" : 173.0}', '{""ID"" : 30251, ""COORDS"" : (39.18527778, -120.55555556), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 0.1, ""DISC"" : 173, ""CONT"" : 173.0}', '{""ID"" : 30286, ""COORDS"" : (39.09, -120.525), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 0.1, ""DISC"" : 174, ""CONT"" : 176.0}', '{""ID"" : 30288, ""COORDS"" : (39.055, -120.53194444), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 0.1, ""DISC"" : 175, ""CONT"" : 176.0}', '{""ID"" : 32361, ""MTBS_ID"" : ""CA3920812059620080621(AMERICAN RIVER COMPLEX (GOVERNMENT))"", ""COORDS"" : (39.21555556, -120.64861111), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 9164.0, ""DISC"" : 173, ""CONT"" : 214.0}', '{""ID"" : 32950, ""COORDS"" : (39.28222222, -120.61444444), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 552.0, ""DISC"" : 174, ""CONT"" : 214.0}', '{""ID"" : 32951, ""MTBS_ID"" : ""CA3920812059620080621(AMERICAN RIVER COMPLEX (GOVERNMENT))"", ""COORDS"" : (39.16333333, -120.66), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 10836.0, ""DISC"" : 174, ""CONT"" : 214.0}']"
23,ANA COMPLEX,2011_OR-LAD-110652_ANA COMPLEX,OR-LAD-110652,OR-LAD-110652,ANA COMPLEX,ANA COMPLEX,2011,11,"['{""ID"" : 20021992, ""COORDS"" : (42.80277778, -120.825), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 0.1, ""DISC"" : 221, ""CONT"" : 226.0}', '{""ID"" : 201110186, ""COORDS"" : (42.983892, -120.789689), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 279.0, ""DISC"" : 220, ""CONT"" : 226.0}']"
24,ANA COMPLEX,2011_OR-LAD-110652_ANA COMPLEX,OR-LAD-110652,OR-LAD-110652,ANNA,ANA COMPLEX,2011,1,"['{""ID"" : 20021992, ""COORDS"" : (42.80277778, -120.825), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 0.1, ""DISC"" : 221, ""CONT"" : 226.0}', '{""ID"" : 201110186, ""COORDS"" : (42.983892, -120.789689), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 279.0, ""DISC"" : 220, ""CONT"" : 226.0}']"
25,ANDERSON VALLEY COMPLEX,2004_UT-DIF-000006_ANDERSON VALLEY COMPLEX,UT-DIF-000006,UT-DIF-000006,ANDERSON VALLEY,ANDERSON VALLEY COMPLEX,2004,3,
26,ANDERSON VALLEY COMPLEX,2004_UT-DIF-000006_ANDERSON VALLEY COMPLEX,UT-DIF-000006,UT-DIF-000006,ANDERSON VALLEY COMPLEX,ANDERSON VALLEY COMPLEX,2004,5,
27,ANDOVER COMPLEX,2013_MN-MNS-351-003_ANDOVER,MN-MNS-351-003,MN-MNS-351-003,ANDOVER ,ANDOVER ,2013,1,"['{""ID"" : 201785230, ""COORDS"" : (45.2285, -93.3692), ""CAUSE"" : ""2(Equipment Use)"", ""SIZE"" : 120.0, ""DISC"" : 117, ""CONT"" : 118.0}']"
28,ANDREWS COUNTY COMPLEX,2008_TX-TXS-88072_ANDREWS COUNTY COMPLEX,TX-TXS-88072,TX-TXS-88072,ANDREWS COUNTY COMPLEX,ANDREWS COUNTY COMPLEX,2008,5,"['{""ID"" : 706911, ""MTBS_ID"" : ""TX3243410275220080225(ANDREW COUNTY COMPLEX)"", ""COORDS"" : (32.37517, -102.7747), ""CAUSE"" : ""9(Miscellaneous)"", ""SIZE"" : 2000.0, ""DISC"" : 56, ""CONT"" : ""unknown""}']"
29,ANTELOPE COMPLEX,2007_NV-BMD-000311_ANTELOPE COMPLEX,CA-PNF-000396,NV-BMD-000311,ANTELOPE COMPLEX,ANTELOPE COMPLEX,2007,19,"['{""ID"" : 19425, ""COORDS"" : (40.14111111, -120.67), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 2.1, ""DISC"" : 186, ""CONT"" : 187.0}', '{""ID"" : 19427, ""COORDS"" : (40.14805556, -120.66388889), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 31.3, ""DISC"" : 186, ""CONT"" : 187.0}', '{""ID"" : 19438, ""COORDS"" : (40.21972222, -120.66916667), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 0.1, ""DISC"" : 186, ""CONT"" : 187.0}', '{""ID"" : 19443, ""COORDS"" : (40.23861111, -120.69833333), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 0.1, ""DISC"" : 186, ""CONT"" : 187.0}', '{""ID"" : 19447, ""COORDS"" : (40.25, -120.67888889), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 0.1, ""DISC"" : 186, ""CONT"" : 187.0}', '{""ID"" : 19449, ""COORDS"" : (40.15138889, -120.66305556), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 1.2, ""DISC"" : 187, ""CONT"" : 188.0}', '{""ID"" : 19574, ""COORDS"" : (40.29861111, -120.65055556), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 0.1, ""DISC"" : 191, ""CONT"" : 196.0}', '{""ID"" : 19602, ""COORDS"" : (40.28138889, -120.60666667), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 0.1, ""DISC"" : 192, ""CONT"" : 196.0}', '{""ID"" : 21345, ""COORDS"" : (39.69888889, -120.66222222), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 0.1, ""DISC"" : 191, ""CONT"" : 191.0}', '{""ID"" : 22035, ""MTBS_ID"" : ""CA4013912058220070705(ANTELOPE COMPLEX (WHEELER))"", ""COORDS"" : (40.12861111, -120.63611111), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 22905.81, ""DISC"" : 186, ""CONT"" : 202.0}', '{""ID"" : 340346, ""MTBS_ID"" : ""NV4011611706720070716(ANTELOPE COMPLEX)"", ""COORDS"" : (40.0005, -116.9084), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 3283.0, ""DISC"" : 197, ""CONT"" : 211.0}', '{""ID"" : 340349, ""MTBS_ID"" : ""NV4011611706720070716(ANTELOPE COMPLEX)"", ""COORDS"" : (39.89153, -117.2711), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 40012.0, ""DISC"" : 198, ""CONT"" : 211.0}', '{""ID"" : 340350, ""MTBS_ID"" : ""NV4011611706720070716(ANTELOPE COMPLEX)"", ""COORDS"" : (40.1244, -117.3309), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 9728.0, ""DISC"" : 198, ""CONT"" : 211.0}', '{""ID"" : 340351, ""MTBS_ID"" : ""NV4011611706720070716(ANTELOPE COMPLEX)"", ""COORDS"" : (40.1533, -116.9851), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 28142.0, ""DISC"" : 198, ""CONT"" : 211.0}', '{""ID"" : 340352, ""MTBS_ID"" : ""NV4011611706720070716(ANTELOPE COMPLEX)"", ""COORDS"" : (40.0185, -117.5121), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 25380.0, ""DISC"" : 198, ""CONT"" : 211.0}', '{""ID"" : 342524, ""MTBS_ID"" : ""NV4011611706720070716(ANTELOPE COMPLEX)"", ""COORDS"" : (40.6975, -116.5464), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 28979.0, ""DISC"" : 198, ""CONT"" : 203.0}']"
30,ANTELOPE COMPLEX,2007_NV-BMD-000311_ANTELOPE COMPLEX,NV-BMD-000311,NV-BMD-000311,ANTELOPE COMPLEX,ANTELOPE COMPLEX,2007,8,"['{""ID"" : 19425, ""COORDS"" : (40.14111111, -120.67), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 2.1, ""DISC"" : 186, ""CONT"" : 187.0}', '{""ID"" : 19427, ""COORDS"" : (40.14805556, -120.66388889), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 31.3, ""DISC"" : 186, ""CONT"" : 187.0}', '{""ID"" : 19438, ""COORDS"" : (40.21972222, -120.66916667), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 0.1, ""DISC"" : 186, ""CONT"" : 187.0}', '{""ID"" : 19443, ""COORDS"" : (40.23861111, -120.69833333), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 0.1, ""DISC"" : 186, ""CONT"" : 187.0}', '{""ID"" : 19447, ""COORDS"" : (40.25, -120.67888889), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 0.1, ""DISC"" : 186, ""CONT"" : 187.0}', '{""ID"" : 19449, ""COORDS"" : (40.15138889, -120.66305556), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 1.2, ""DISC"" : 187, ""CONT"" : 188.0}', '{""ID"" : 19574, ""COORDS"" : (40.29861111, -120.65055556), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 0.1, ""DISC"" : 191, ""CONT"" : 196.0}', '{""ID"" : 19602, ""COORDS"" : (40.28138889, -120.60666667), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 0.1, ""DISC"" : 192, ""CONT"" : 196.0}', '{""ID"" : 21345, ""COORDS"" : (39.69888889, -120.66222222), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 0.1, ""DISC"" : 191, ""CONT"" : 191.0}', '{""ID"" : 22035, ""MTBS_ID"" : ""CA4013912058220070705(ANTELOPE COMPLEX (WHEELER))"", ""COORDS"" : (40.12861111, -120.63611111), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 22905.81, ""DISC"" : 186, ""CONT"" : 202.0}', '{""ID"" : 340346, ""MTBS_ID"" : ""NV4011611706720070716(ANTELOPE COMPLEX)"", ""COORDS"" : (40.0005, -116.9084), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 3283.0, ""DISC"" : 197, ""CONT"" : 211.0}', '{""ID"" : 340349, ""MTBS_ID"" : ""NV4011611706720070716(ANTELOPE COMPLEX)"", ""COORDS"" : (39.89153, -117.2711), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 40012.0, ""DISC"" : 198, ""CONT"" : 211.0}', '{""ID"" : 340350, ""MTBS_ID"" : ""NV4011611706720070716(ANTELOPE COMPLEX)"", ""COORDS"" : (40.1244, -117.3309), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 9728.0, ""DISC"" : 198, ""CONT"" : 211.0}', '{""ID"" : 340351, ""MTBS_ID"" : ""NV4011611706720070716(ANTELOPE COMPLEX)"", ""COORDS"" : (40.1533, -116.9851), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 28142.0, ""DISC"" : 198, ""CONT"" : 211.0}', '{""ID"" : 340352, ""MTBS_ID"" : ""NV4011611706720070716(ANTELOPE COMPLEX)"", ""COORDS"" : (40.0185, -117.5121), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 25380.0, ""DISC"" : 198, ""CONT"" : 211.0}', '{""ID"" : 342524, ""MTBS_ID"" : ""NV4011611706720070716(ANTELOPE COMPLEX)"", ""COORDS"" : (40.6975, -116.5464), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 28979.0, ""DISC"" : 198, ""CONT"" : 203.0}']"
