term,effect
very,1.5
much ,1.5
so,1.5
greater,1.5
utterly,1.5
completely,1.5
fully,1.5
really,1.5
extremely,1.5
absolutely,1.5
too,1.5
thoroughly,1.5
more,1.5
fairly,1.5
slightly,0.5
little,0.5
kind of,0.5
somewhat,0.5
hardly,0.5
almost,0.5
nearly,0.5
less,0.5
far from,0.5
sort of,0.5
