term,POS,source
not,,grammarly.com
nor,,grammarly.com
no,,grammarly.com
never,,grammarly.com
none,,grammarly.com
nobody,,grammarly.com
nothing,,grammarly.com
neither,,grammarly.com
nowhere,,grammarly.com
never,,grammarly.com
hardly,adverb,grammarly.com
scarcely,adverb,grammarly.com
barely,adverb,grammarly.com
doesn't,verb,grammarly.com
isn't,verb,grammarly.com
wasn't,verb,grammarly.com
shouldn't,verb,grammarly.com
couldn't,verb,grammarly.com
wouldn't,verb,grammarly.com
won't,verb,grammarly.com
can't,verb,grammarly.com
don't,verb,grammarly.com
