,topic level,topic number,parent,number of documents in topic,topic words,number of words,best lesson,coherence
84,2,90,76,10,"cryogenic temperature, cryogenic, temperature, quality control, manufacture, external, eliminate, take, part, fracture",114,1010,0.7968542456626893
85,2,91,13,13,"careful, safety, visual, attention, principle, identification, code, area, work, personnel",97,844,0.7219538986682892
86,2,92,78,21,"science return, command, overload, minute, sufficiently, point, budget, directly, last, reach",135,1177,0.8257258832454681
87,2,93,78,9,"deep space, earth orbit, flight software, command, include, commit, percent, chain, staff, earth",44,22101,0.8243749558925628
88,2,94,76,12,"transient, steady, noise, circuit, state, digital, rate, pump, power, anomalous",160,1617,0.8117680847644806
89,2,95,78,3,"instance, loop, remove, crew, valuable, useful, execution, test demonstrate, pilot, substitute",80,4581,0.8723092496395111
90,1,97,0,19,"drawing, mishap investigation, high pressure, manner, primary, planning, task, document, mishap, perform",78,2576,0.7554279386997222
91,1,98,0,17,"segment, challenge, resolution, vehicle, link, share, thermal vacuum test, propellant tank, substitute, front",55,3759,0.848534208536148
92,1,99,0,20,"lose, data, sample, general, option, bond, housekeep, destructive, label, question",36,279,0.8061200439929962
93,1,100,0,16,"production, packaging, destructive, package, radiation, compliance, application, risk, paperwork, body",79,23502,0.8353419661521911
94,1,101,0,4,"briefing, side, write, crane, follow, procedure, consideration give, high value, hoist, review approve",77,937,0.7847721993923187
95,2,104,8,9,"produce, electronics, couple, charge, encounter, similar, effective, board, electrical, early",100,592,0.7775867700576782
96,2,106,14,6,"project manager, left, roll, back, view, move, place, loose, shift, fracture",61,1338,0.8036795675754547
97,2,108,100,16,"different, particular, insufficient, manufacturing, manufacturer, eliminate, component, type, example, inspection",87,1608,0.7470171928405762
