,topic level,topic number,parent,number of documents in topic,topic words,number of words,best lesson,coherence
0,average,average,average,average,average,average,average,0.8046669221793611
1,std dev,std dev,std dev,std dev,std dev,std dev,std dev,0.05653026736727518
2,0,0,-1,1639,"design, test, system, time, flight, process, critical, require, project, operation",7256,23901,0.5694639503955841
3,1,8,0,368,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle",724,701,0.7974874377250671
4,1,9,0,92,"maximum, engine, operating, space shuttle, surface, change, longer, space shuttle program, main engine, ssme",323,1710,0.794624873995781
5,1,10,0,68,"assign, approximately, astronaut, radiation exposure, radiation, health, duration, experienced, exposure, similar",74,1071,0.8431109488010406
6,1,11,0,321,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent",439,1412,0.6486822754144669
7,1,12,0,51,"wear, accident, excess, strength, injury, found, high, inspection, hydraulic, worker",173,1096,0.7755789786577225
8,1,13,0,55,"stress, analysis, qualification, test, hardware, temperature, limit, additional, component, operating",165,1798,0.6638806998729706
9,1,14,0,173,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length",190,1487,0.8154384672641755
10,1,15,0,77,"manual, automate, reliable, weight, great, product, result incomplete, optimum, frame, effectively",61,682,0.83136265873909
11,2,16,8,45,"space, shuttle, logistics, space shuttle, repair, catastrophic failure, rate, whole, term, increase",279,1074,0.7788570404052735
12,2,17,9,16,"independent review, procedure, follow, lockout, expertise, likely, risk assessment, right, policy, guideline",248,5396,0.7843547821044922
13,2,18,8,10,"increase risk, exist, installation, agreement, identical, front, need clearly, safeguard, expenditure, budget",121,51,0.8454983592033386
14,2,19,8,9,"result incomplete, position, support, long duration, incorrectly, data record, severe, lock, degree, weight",29,1369,0.8293673753738403
15,2,20,10,6,"data record, moment, allowable, indicate, angle, negative, analyze, roll, record, enough",208,1265,0.8448463618755341
16,2,21,8,181,"failure mode, space shuttle, long term, result excessive, future mission, high temperature, acceptance test, shuttle orbiter, electrical connector, electrical short",144,6144,0.9198099136352539
17,2,22,11,238,"flight hardware, close call, high pressure, manufacturing process, configuration control, increase risk, result close call, loss life, stainless steel, lift operation",242,102,0.8874928057193756
18,2,23,9,32,"human error, time consume, entry, land, future, advantage, print, gain, operating condition, concept",111,4618,0.8635531604290009
19,2,24,9,11,"single point failure, single point, predict, person, open, accomplish, research, lock, occurs, described",161,1600,0.846073579788208
20,2,25,10,22,"leak, leak check, thread, check, torque, leakage, measure, close, line, spec",202,4477,0.7961924314498902
21,2,26,8,24,"make sure, personnel injury, hazardous operation, design concept, recommendation, orbit operation, occurrence, energy, link, steady",119,54,0.8768674671649933
22,2,27,13,15,"operate, device, improperly, construction, solid, size, regard, proper, application, available",115,1143,0.7880768239498138
23,2,28,11,42,"loss, valve, fire, damage, improper, result, equipment, purge, control, pressure",209,752,0.6758831769227982
24,2,29,12,49,"solid propellant, ring, joint, solid rocket motor, solid rocket, seal, motor, electrostatic discharge, insulation, rocket",148,759,0.8654097855091095
25,2,30,76,4,"movement, aware, right, instruction, zero, secure, detailed, properly, allow, schedule",95,464,0.7494223654270172
26,2,31,9,3,"study, single, show, understand, analysis, data, single string, cell, useful, usage",68,2046,0.7382187604904175
27,2,32,11,33,"space shuttle, shuttle, upgrade, main engine, space, engine, system, software, ssme, monitoring",235,1079,0.7544223636388778
28,2,33,73,23,"review board, defect, undetected, mean, schedule impact, consideration give, trace, increase cost, cost, stage",134,779,0.8591216623783111
29,2,34,72,2,"participant, duplication, useful, single point, opportunity, facilitate, readiness, quickly, select, member",35,2176,0.8400468170642853
30,2,35,9,14,"minor, pose, expect, sample, unnecessary, formal, acceptable, particularly, increase, mechanism",123,1615,0.7900969326496124
31,2,36,10,3,"carefully, manufacturing, antenna, gravity, simply, vibration, motion, heritage, depth, production",72,16501,0.8807579338550567
32,2,37,73,8,"mishap investigation, upper, recent, recommendation, finding, body, mistake, undetected, periodically, left",46,1108,0.8605669140815735
33,2,38,14,123,"life cycle, real time, well understood, reduce risk, impact nonpractice, careful consideration, meet requirement, launch vehicle, high voltage, power supply",115,23701,0.8626072704792023
34,2,39,14,21,"level requirement, configuration management, team member, international, government, discipline, station, short, many, personnel involve",146,681,0.8554657340049744
35,2,40,9,16,"flight software, image, spacecraft integration, ability, redundant, flexibility, schedule cost, period, designer, integration",138,364,0.8692847967147828
36,2,41,8,28,"visual inspection, lift, lift fixture, section, fixture, visual, crane, inspection, develop, ground support",89,1027,0.8095111131668091
37,2,42,15,5,"contribute factor, sufficiently, chain, apparent, conflict, conclude, confusion, principal, completely, aware",43,1192,0.8612411201000214
38,2,43,10,9,"repair, orbiter, body, orbiter processing, shop, fuel cell, ability, identification, experienced, removal",138,5477,0.857402378320694
39,2,44,77,8,"distribute, implement, active, effectively, physical, characteristic, measure, able, appropriate, understand",90,1479,0.7728253126144409
40,2,45,73,25,"long term, term, plan, ship, long, produce, large, issue, qualify, material",174,492,0.7341198265552521
41,2,46,77,6,"insert, loose, screw, prior launch, detail, specify, show, frame, percent, contribute factor",118,540,0.8275988459587097
42,2,47,12,2,"fleet, prediction, conflict, implication, space center, finding, prepared, flexible, resolution, considerable",55,1486,0.893391227722168
43,2,48,15,26,"science data, spaceflight, mission, loss mission, compromise, science, result, performance, resource, likely",176,28105,0.72785784304142
44,2,49,8,24,"electronic part, electronic, device, capable, subsystem, suitable, function, power, impact, spaceflight",165,16303,0.7976888298988343
45,2,50,10,5,"mode, risk associate, exercise, failure mode, integrate, operating, benign, intent, investigate, cruise",63,1416,0.8198702812194825
46,2,51,8,20,"pressure vessel, check valve, surface area, flex hose, cleaning, distance, ultimately, gravity, pipe, vapor",68,248,0.8691677629947663
47,2,52,73,15,"limit switch, greatly, difference, actual, unexpected, surface, specification, excessive, small, requirement",86,1765,0.750499027967453
48,2,53,15,7,"accuracy, piece part, special, fabrication, present, limit, close, desire, noise, corrective",70,1038,0.8083394289016723
49,2,54,15,12,"damage, stress, force, joint, board, create, sufficient, material, solder, crack",103,18502,0.7466692984104156
50,2,55,99,16,"spacecraft instrument, screen, test demonstrate, developer, reduction, assess, margin, strength, environmental test, possibility",118,781,0.8517817318439483
51,2,56,13,17,"mechanical, specific, vibration, caution, industry, characterize, rely, compare, generally, property",115,845,0.817643916606903
52,2,57,8,18,"degrade performance, properly, adequately address, satellite, timely manner, concern, storage, charge, address, handle",83,704,0.8100764274597168
53,2,58,77,4,"property, built, record, frame, bridge, paperwork, quality control, bond, coordination, prime",57,1718,0.8805419206619263
54,2,59,78,4,"spec, confirm, friction, eventually, compression, door, unacceptable, drive, tank, external",153,2839,0.8738748729228973
55,2,60,72,11,"mishap investigation, strength, limited, board, current, inadequate, reliance, contribute factor, certain, simply",71,526,0.7836072504520416
56,2,61,74,31,"fault protection, cost effective, anomaly resolution, protection, extend mission, launch delay, risk associate, fault, associate, decision",128,345,0.8638702273368836
57,2,62,13,10,"find, manufacturer, equipment, mitigate, safeguard, selection, identify, assure, pump, people",108,931,0.7702970087528229
58,2,63,15,6,"gravity, array, fully understood, clearance, assemble, understood, still, fully, eliminate, subsequent",106,1778,0.8226281523704528
59,2,64,73,23,"test article, article, many case, store, connect, check, prior, potential hazard, vapor, module",75,887,0.8265466272830964
60,2,65,76,10,"store, employee, battery, explode, utilize, back, remove, fire, power, provide",75,1469,0.7539754033088684
61,2,66,74,10,"signal, telemetry, short, generator, timing, cleaning, recognize, laboratory, speed, return",135,4021,0.836025083065033
62,2,68,14,23,"conservative, structural, complex, analysis, model, static, weight, mount, dynamic, perform",101,699,0.7374674618244171
63,2,69,11,8,"need, suggests, constraint, encounter, understand, project, cruise, trend, recommendation, analytical model",67,8302,0.7874762177467346
64,2,70,98,17,"orbiter, disconnect, helium, component, operating, cell, result, onboard, load, fuel cell",152,41,0.7539946645498276
65,2,71,101,4,"contribute factor, timing, important, duplication, identical, yield, hazardous operation, raise, upper, occurrence",77,351,0.8420566976070404
66,1,72,0,30,"scientific data, orbit, magnetic, scientific, attitude control system, interference, increase, data, nonpractice, attitude control",231,653,0.8246569246053695
67,1,73,0,94,"mount, improper, difficult, detect, screw, maintenance, effect, indicator, analysis, hazard",129,5479,0.7565996825695038
68,1,74,0,41,"draw, identification, sequence, redundancy, item, final, approve, modification, identify, transport",82,923,0.7643875360488892
69,1,75,0,34,"activation, line, activate, prevent, locate, switch, emergency, personnel, valve, incorrectly",174,47,0.7774498045444489
70,1,76,0,36,"replacement, individual, assembly, point, flight hardware, breakdown, incorrectly, module, confirm, vibration",73,433,0.8098909795284271
71,1,77,0,31,"platform, hoist, break, inadequate, free, emergency, stop, antenna, allow, access",130,60,0.8012195229530334
72,1,78,0,45,"controller, allow, series, find, solid, replace, removal, fault, timely, manner",105,1273,0.7867735803127289
73,1,79,0,47,"wiring, harness, connector, train, post, wire, fabrication, enough, avoid, proper",103,1876,0.8229455888271332
74,2,80,72,8,"certification, clearly identify, combine, usage, contaminate, uncertainty, assess, combination, reliable, incorporate",36,441,0.8481337130069733
75,2,81,79,47,"hazard analysis, manufacturer recommendation, corrective action, communication, potentially hazardous, effective communication, injury, information, high value, daily",158,45,0.836822384595871
76,2,82,97,19,"risk management, individual, risk reduction, commitment, reduction, integrity, overall, additionally, tool, developed",102,1312,0.8146914005279541
77,2,83,15,21,"software development, best practice, commercial shelf, integration test, attitude control, work relationship, shelf, commercial, place, important",66,1128,0.821607905626297
78,2,84,72,9,"interference, drawing, operator, fabrication, affect, integrate, important, interface, design, paperwork",80,2716,0.7352053105831147
79,2,85,77,13,"base, adjust, remote, local, redesign, criterion, original, path, eliminate, operator",95,4476,0.8115556597709656
80,2,86,10,23,"liquid, hazardous, hazard, work, damage, fire, occurs, possibly, protective, technician",148,55,0.7879874348640442
81,2,87,75,34,"injury personnel, identify potential, building, communication, pipe, impossible, utility, outage, radio, protective",135,81,0.8510258376598359
82,2,88,78,8,"availability, reduce, spare, replacement, ground support equipment, ground support, vehicle, performance, schedule, equipment",90,284,0.7229638934135437
83,2,89,99,4,"estimate, insight, compliance, degree, range, project, problem, simply, simple, enable",53,5636,0.7726702988147736
