,topic numbers,Combined Text
0,average score,0.503030040004214
1,std dev,0.23320280517706454
2,0,0.46199405514188774
3,1,0.8682861485838875
4,2,0.8943648172679822
5,3,0.8930222099459868
6,4,0.8994336905321786
7,5,0.695498985768578
8,6,0.868209354111715
9,7,0.3856750563894447
10,8,0.7125586854740362
11,9,0.2775631096385811
12,10,0.7056197140332695
13,11,0.3591579218581892
14,12,0.8457012651383472
15,13,0.3050227405015706
16,14,0.7326922153874862
17,15,0.8948439647665648
18,16,0.32616143122490054
19,17,0.5468962921365089
20,18,0.53252457389246
21,19,0.6930434718546452
22,20,0.6980440347565613
23,21,0.3755330420528789
24,22,0.6935243444360946
25,23,0.7108442559170676
26,24,0.6748356130364823
27,25,0.4831512159833232
28,26,0.8462778663250106
29,27,0.8580453836992745
30,28,0.5410867683459085
31,29,0.34081142775057577
32,30,0.422776520256955
33,31,0.34133080554621903
34,32,0.524795452651216
35,33,0.38128437604545795
36,34,0.8358293094965286
37,35,0.37783841669371154
38,36,0.8374926839924207
39,37,0.7883878602716781
40,38,0.3477520028670913
41,39,0.6936727609355603
42,40,0.8777375999143432
43,41,0.7220143536403049
44,42,0.6841064535830262
45,43,0.5403495859151185
46,44,0.18825721494591113
47,45,0.3665791778408067
48,46,0.35086362796044857
49,47,0.3465183242810589
50,48,0.49498939270879766
51,49,0.3754764625919369
52,50,0.684493873621896
53,51,0.595824430862347
54,52,0.35212074096688595
55,53,0.7128117778573104
56,54,0.8079301055905228
57,55,0.9178328623000735
58,56,0.3100482214310994
59,57,0.2211674974847309
60,58,0.4559705886151487
61,59,0.3028585470350195
62,60,0.828563740414366
63,61,0.2308227182761617
64,62,0.6682496247235401
65,63,0.6731805753610468
66,64,0.3346973361378916
67,65,0.3346318260318112
68,66,0.5495792285517322
69,67,0.6341902942906211
70,68,0.7283925106655575
71,69,0.3612357493857888
72,70,0.20830047072341512
73,71,0.7168092908155277
74,72,0.251214403062939
75,73,0.16140250340582768
76,74,0.21811983955372086
77,75,0.2877287516224744
78,76,0.44488588767070264
79,77,0.6481078160345602
80,78,0.22302268356136912
81,79,0.2616067924498145
82,80,0.2310186147022534
83,81,0.15707003276639558
84,82,0.5593277564308655
85,83,0.3390515116588529
86,84,0.29210303040917523
87,85,0.2042358335261519
88,86,0.3651510382320643
89,87,0.14331871722815873
90,88,0.3594613745951889
91,89,0.3123075512177905
92,90,0.23719656409948547
93,91,0.4358322580536377
94,92,0.18313748336961252
95,93,0.4563444410742358
96,94,0.5955567645465712
97,95,0.16885435741481442
98,96,0.3620123280114133
99,97,0.09135848155618623
100,98,0.19453147108052854
101,99,0.8708576638541293
