,Hydraulic Fluid Leaks and Malfunctions,Intrusion,Water Drop Bucket or Tank Failure,Water or Retardant Loading & Jettison Failure,Radio Malfunction,On-board Caution Light Illuminates,Inadequate PPE,Electrical Failure,Severe Weather,Landing Gear Malfunction,In-flight Collision,Airspace Control Hazards,Personnel Duty Hours Exceeded,Jumper Operations Hazards,Control Surface Damage,Prescribed Burn Operations Failure,Engine Malfunction,Oil Malfunction,Load Limits Exceeded,Cargo Letdown Failure,Door Failure,Medivac,Fuel System Malfunction,Structural Damage,Rotor & Propeller Damage,Avionics Malfunction
0,,,,16-0823,,,00-0849,18-0435,03-1365,,,06-0612,,,,,,,06-0612,,,15-0326,00-0211,18-0853,,02-1122
1,,,,02-1286,,,,,,,,,,,,,,,20-0613,,,,99-1043,04-0093,,
