,Hazard,ID
0,Fuel Leak,24093
1,Fuel Leak,24260
2,Fuel Leak,24314
3,Fuel Leak,24227
4,Fuel Leak,24224
5,Fuel Leak,24208
6,Fuel Leak,24196
7,Fuel Leak,24185
8,Fuel Leak,24403
9,Fuel Leak,24566
10,Fuel Leak,24534
11,Fuel Leak,24452
12,Fuel Leak,24429
13,Fuel Leak,24744
14,Fuel Leak,24738
15,Fuel Leak,24712
16,Fuel Leak,24075
17,Fuel Leak,24671
18,Fuel Leak,24879
19,Fuel Leak,24820
20,Fuel Leak,24929
21,Fuel Leak,25051
22,Fuel Leak,24971
23,Fuel Leak,24930
24,Fuel Leak,24947
25,Fuel Leak,25224
26,Fuel Leak,25202
27,Fuel Leak,25209
28,Fuel Leak,25196
29,Fuel Leak,25187
30,Fuel Leak,25151
31,Fuel Leak,25127
32,Fuel Leak,25207
33,Fuel Leak,25056
34,Fuel Leak,25223
35,Fuel Leak,25321
36,Fuel Leak,25314
37,Fuel Leak,25285
38,Fuel Leak,25278
39,Fuel Leak,25279
40,Fuel Leak,25256
41,Fuel Leak,25239
42,Fuel Leak,25108
43,Fuel Leak,25456
44,Fuel Leak,25433
45,Fuel Leak,25414
46,Fuel Leak,25416
47,Fuel Leak,25376
48,Fuel Leak,25372
49,Fuel Leak,25362
50,Fuel Leak,25358
51,Fuel Leak,25355
52,Fuel Leak,25342
53,Fuel Leak,25332
54,Fuel Leak,25486
55,Fuel Leak,25719
56,Fuel Leak,25665
57,Fuel Leak,25676
58,Fuel Leak,25675
59,Fuel Leak,28901
60,Fuel Leak,28762
61,Fuel Leak,28421
62,Fuel Leak,33023
63,Fuel Leak,32263
64,Fuel Leak,30781
65,Fuel Leak,34981
66,Fuel Leak,34741
67,Fuel Leak,34823
68,Fuel Leak,34381
69,Fuel Leak,34321
70,Fuel Leak,34261
71,Fuel Leak,34121
72,Fuel Leak,33882
73,Fuel Leak,34045
74,Fuel Leak,33704
75,Fuel Leak,33722
76,Fuel Leak,36588
77,Fuel Leak,36425
78,Fuel Leak,36042
79,Fuel Leak,36003
80,Fuel Leak,35743
81,Fuel Leak,38550
82,Fuel Leak,38268
83,Fuel Leak,38087
84,Fuel Leak,37890
85,Fuel Leak,37667
86,Fuel Leak,37509
87,Fuel Leak,40772
88,Fuel Leak,40509
89,Fuel Leak,40219
90,Fuel Leak,39849
91,Fuel Leak,44030
92,Fuel Leak,43827
93,Fuel Leak,44411
94,Fuel Leak,45327
95,Food Supply Issues,24098
96,Food Supply Issues,24169
97,Food Supply Issues,24277
98,Food Supply Issues,24158
99,Food Supply Issues,24279
100,Food Supply Issues,24120
101,Food Supply Issues,24390
102,Food Supply Issues,24539
103,Food Supply Issues,24501
104,Food Supply Issues,24477
105,Food Supply Issues,24425
106,Food Supply Issues,24738
107,Food Supply Issues,24712
108,Food Supply Issues,24689
109,Food Supply Issues,24604
110,Food Supply Issues,24909
111,Food Supply Issues,24894
112,Food Supply Issues,24879
113,Food Supply Issues,24868
114,Food Supply Issues,25020
115,Food Supply Issues,25166
116,Food Supply Issues,25168
117,Food Supply Issues,25097
118,Food Supply Issues,25096
119,Food Supply Issues,25148
120,Food Supply Issues,27450
121,Food Supply Issues,25297
122,Food Supply Issues,25272
123,Food Supply Issues,25231
124,Food Supply Issues,25359
125,Food Supply Issues,25584
126,Food Supply Issues,25509
127,Food Supply Issues,27541
128,Food Supply Issues,25612
129,Food Supply Issues,25597
130,Food Supply Issues,25594
131,Food Supply Issues,29141
132,Food Supply Issues,28762
133,Food Supply Issues,29322
134,Food Supply Issues,31682
135,Food Supply Issues,31063
136,Food Supply Issues,34902
137,Food Supply Issues,38488
138,Food Supply Issues,37251
139,Food Supply Issues,43271
140,Food Supply Issues,44330
141,Food Supply Issues,43390
142,Food Supply Issues,42958
143,Food Supply Issues,46187
144,Food Supply Issues,46173
145,Food Supply Issues,46035
146,Food Supply Issues,45888
147,Food Supply Issues,46034
148,Food Supply Issues,45871
149,Food Supply Issues,45869
150,Food Supply Issues,45988
151,Food Supply Issues,46209
152,Food Supply Issues,45730
153,Food Supply Issues,45851
154,Food Supply Issues,45853
155,Food Supply Issues,45690
156,Food Supply Issues,45689
157,Food Supply Issues,45892
158,Food Supply Issues,45668
159,Food Supply Issues,45687
160,Burn,24103
161,Burn,24256
162,Burn,24111
163,Burn,24022
164,Burn,24556
165,Burn,24112
166,Burn,24309
167,Burn,24201
168,Burn,24185
169,Burn,24398
170,Burn,24382
171,Burn,24569
172,Burn,24675
173,Burn,24535
174,Burn,24534
175,Burn,24450
176,Burn,24070
177,Burn,24697
178,Burn,24686
179,Burn,24621
180,Burn,24625
181,Burn,24908
182,Burn,24869
183,Burn,24820
184,Burn,25049
185,Burn,24935
186,Burn,24947
187,Burn,25209
188,Burn,25196
189,Burn,25095
190,Burn,25093
191,Burn,25223
192,Burn,25310
193,Burn,25113
194,Burn,25452
195,Burn,25441
196,Burn,25406
197,Burn,25388
198,Burn,25357
199,Burn,24762
200,Burn,25351
201,Burn,27438
202,Burn,25343
203,Burn,25332
204,Burn,25578
205,Burn,25557
206,Burn,25524
207,Burn,25508
208,Burn,25517
209,Burn,27862
210,Burn,25612
211,Burn,30141
212,Burn,29881
213,Burn,29502
214,Burn,28522
215,Burn,33023
216,Burn,32402
217,Burn,30781
218,Burn,38711
219,Burn,38310
220,Burn,40751
221,Burn,43827
222,Burn,45567
223,Dehydration,24349
224,Dehydration,24697
225,Dehydration,24815
226,Dehydration,25100
227,Dehydration,25231
228,Dehydration,25423
229,Dehydration,25388
230,Dehydration,25383
231,Dehydration,25357
232,Dehydration,25570
233,Dehydration,25678
234,Dehydration,25612
235,Dehydration,31063
236,Dehydration,45652
237,Dehydration,45567
238,Heat Exhaustion,24082
239,Heat Exhaustion,24349
240,Heat Exhaustion,24621
241,Heat Exhaustion,24815
