,Likelihood % same,Likelihood average distance,Severity % same,Severity average distance,Likelihood and Severity % same
Traffic,20.18949393251069,-0.20615139050893241,35.717355270427895,-0.7650357091697874,4.837620480078581
Command_Transitions,18.26795178750486,-0.3204002701209405,27.020279534246015,-0.9075654327050975,2.3840219370945626
Evacuations,17.418707921501216,-0.016084474185032845,38.07068164610064,-0.612560623733808,5.095463196021855
Inaccurate_Mapping,27.014140421961653,-0.49366648249329814,47.756154460065076,-0.6076902613215462,8.461743098614608
Aerial_Grounding,23.86272944932163,-0.9929400208729817,29.18124705834203,-0.7298585957803835,2.398346532424745
Resource_Issues,21.061247876890334,-0.23263142816215443,55.501667792170586,-0.5639593181492623,10.315755008492438
Injuries,19.31364724660814,-0.0898356764278552,97.45226840198907,-0.020832054351607423,18.77545173634559
Cultural_Resources,21.814312317105614,-0.9281314588577159,21.380481715677245,-0.927087809769374,1.4529232406327377
Livestock,22.47324370229398,-0.9616100845151124,76.6672805778951,-0.25596005484273643,15.126772668672109
Law_Violations,19.655391163771053,-0.08783023308162972,99.47612908506763,0.005238709149323674,19.59604641168887
Military_Base,30.513434424048953,-0.415536046820963,40.54679026746066,-0.6411484232713283,10.080422370925165
Infrastructure,21.82045142938998,-0.8530910430351771,92.52256123764504,-0.06337610248224773,20.119917326621238
Extreme_Weather,22.73313278899871,-0.3543290973458571,33.8080913499908,-0.6851658583502159,4.557267685759306
Ecological,27.98616653365257,-0.8982339820328648,99.46794360202182,0.005156854318865492,27.949331859946387
Hazardous_Terrain,20.150612888043057,-0.4533734422002578,33.335379704094784,-0.8283094931139624,3.5177113389403893
Floods,31.58163996152823,-1.6391634436327174,43.849632676448316,-0.5519266580719094,7.393537561135327
Dry_Weather,21.1799373810547,-0.25319745431477275,34.01272842613625,-0.7451449853684491,4.596148730226942
