,Topic,Count,Name,coherence,,,
0,-1,3191,-1_design_test_flight_failure,coherence,,,
1,0,320,0_requirements_program_review_project,0.808712746,,AVERAGE,0.515736259
2,1,211,1_cable_connectors_wire_electrical,0.925684838,,,
3,2,174,2_rf_antenna_corona_test,0.855135543,,,
4,3,143,3_test_review_hardware_pf,0.816618041,,,
5,4,134,4_project_projects_management_pm,0.707895125,,,
6,5,114,5_jpl_principles_paragraph_supporting paragraph,0.488490509,,,
7,6,87,6_spacecraft_mars_attitude_fault,0.702866837,,,
8,7,87,7_safety_hazards_work_equipment,0.718918065,,,
9,8,86,8_thermal_temperature_solder_test,0.846947814,,,
10,9,77,9_software_flight software_flight_development,0.612715084,,,
11,10,67,10_investigation_caib_accident investigation_submissions,0.455357466,,,
12,11,65,11_crane_lifting_rudder_lift,0.771644169,,,
13,12,65,12_practice used_practice_practice used space_used,0.286871133,,,
14,13,65,13_practice used_voyager_galileo_practice,0.281149864,,,
15,14,60,14_risk_risk management_risks_management,0.568029989,,,
16,15,59,15_redundancy_reliability_temperature_high,0.72279881,,,
17,16,56,16_esd_electrostatic_discharge_charging,0.561484142,,,
18,17,55,17_uav_pilot_gear_landing,0.656438004,,,
19,18,54,18_water_emergency_building_jpl,0.839458963,,,
20,19,53,19_pressure_valve_pressure systems_vacuum,0.362050628,,,
21,20,53,20_tunnel_wind tunnel_torque_wind,0.629343101,,,
22,21,52,21_leak_gas_n2o4_leak checks,0.532608094,,,
23,22,51,22_jpl_paragraph_quotflight_jpl referenced,0.407081807,,,
24,23,51,23_vibration_test_acoustic_random,0.711735555,,,
25,24,50,24_battery_batteries_cell_cells,0.767305918,,,
26,25,50,25_oring_joint_ring_insulation,0.772844778,,,
27,26,50,26_iss_software_international_lessons,0.154074333,,,
28,27,49,27_pyro_pyrotechnic_pyro electronics_firing,0.530490355,,,
29,28,49,28_optical_image_mirror_star,0.690188833,,,
30,29,48,29_firmware_project_navigation_gps,0.819509381,,,
31,30,48,30_blankets_gpc_cooling_amdahl,0.529674698,,,
32,31,47,31_dawn_dsn_mission_science,0.813735403,,,
33,32,46,32_tbd_tbd nasa response_tbd nasa_nasa response,0.199306296,,,
34,33,45,33_aft_platform_platforms_omi,0.508140425,,,
35,34,43,34_seal_propellant_ptfe_hydrazine,0.848997005,,,
37,35,40,35_engine_turbine_turbopump_liquid,0.718857522,,,
36,36,40,36_workforce_training_nasa_employees,0.882037853,,,
38,37,39,37_security flight_protection security flight_protection security_security flight hardware,0.480019588,,,
39,38,37,38_human_human factors_factors_human factors engineering,0.272664229,,,
40,39,36,39_eva_extravehicular_eva project_hydrolab,0.463474099,,,
41,40,34,40_steam_cpp_line_pipe,0.66362327,,,
42,41,34,41_ladder_employee_p1_worker,0.819707109,,,
43,42,33,42_security_computer security_computer_administrators,0.463256455,,,
44,43,33,43_crv_x38_iss_crew,0.425338306,,,
45,44,33,44_weld_welding_welds_arc,0.715806898,,,
46,45,33,45_locking_loctite_load cell_llcs,0.388314947,,,
47,46,32,46_radiation_antenna_smap_deployment,0.608796665,,,
