,Lesson Number,Topics,Intruder
0,1148,"[['propellant', 'engine', 'cryogenic', 'liquid', 'propulsionsystem', 'propulsion', 'purge', 'coat', 'base', 'rocket'], ['briefing', 'maximum', 'move', 'crew', 'practice', 'safe', 'communication', 'vehicle', 'land', 'verify']]","['briefing', 'maximum', 'move', 'crew', 'practice', 'safe', 'communication', 'vehicle', 'land', 'verify']"
1,1230,"[['vacuum', 'extendperiod', 'plate', 'hour', 'extend', 'carefully', 'consider', 'mount', 'period', 'temperature'], ['riskassessment', 'self', 'orbital', 'constant', 'minute', 'radiofrequency', 'personal', 'occurs', 'budgetschedule', 'nature']]","['vacuum', 'extendperiod', 'plate', 'hour', 'extend', 'carefully', 'consider', 'mount', 'period', 'temperature']"
