,Lesson Number,Topics,Intruder
0,484,"[['drawing', 'mishapinvestigation', 'highpressure', 'manner', 'primary', 'planning', 'task', 'document', 'mishap', 'perform'], ['damageflighthardware', 'flighthardware', 'damage', 'hardware', 'failure', 'power', 'personnelinjury', 'result', 'flight', 'inadvertent']]","['damageflighthardware', 'flighthardware', 'damage', 'hardware', 'failure', 'power', 'personnelinjury', 'result', 'flight', 'inadvertent']"
1,120,"[['wear', 'accident', 'excess', 'strength', 'injury', 'found', 'high', 'inspection', 'hydraulic', 'worker'], ['mount', 'improper', 'difficult', 'detect', 'screw', 'maintenance', 'effect', 'indicator', 'analysis', 'hazard']]","['wear', 'accident', 'excess', 'strength', 'injury', 'found', 'high', 'inspection', 'hydraulic', 'worker']"
