,topic numbers,Combined Text Sentences
0,average score,0.3840422936118371
1,std dev,0.22654889890387714
2,0,0.9778537217654
3,1,0.748086540308797
4,2,0.9280488282397572
5,3,0.4589327090919094
6,4,0.928030065595378
7,5,0.7227424678292476
8,6,0.23261429549258367
9,7,0.7619259074097221
10,8,0.36468919648003617
11,9,0.9103267611616621
12,10,0.5638204698784325
13,11,0.7664222344141731
14,12,0.5783594120127924
15,13,0.6085256294699463
16,14,0.5807143357108849
17,15,0.7112770680575452
18,16,0.5886191740120487
19,17,0.3319469657356344
20,18,0.7291132599824927
21,19,0.5625012692451432
22,20,0.5546310859450061
23,21,0.7208280396839073
24,22,0.19746076962682416
25,23,0.6877175753277054
26,24,0.1885328375541578
27,25,0.36678064034920493
28,26,0.1826745570040788
29,27,0.37695923078315363
30,28,0.8675338474741741
31,29,0.5685831631127186
32,30,0.35492013518982796
33,31,0.18642899373390434
34,32,0.5535977434383208
35,33,0.7503028940899668
36,34,0.7250994934457096
37,35,0.7081037434497477
38,36,0.5690633612029615
39,37,0.3620698380181653
40,38,0.69255760571103
41,39,0.5349823406303464
42,40,0.5610796443430588
43,41,0.18352228495454734
44,42,0.31431485734958
45,43,0.27652779243597847
46,44,0.10344620767321885
47,45,0.2063062394665931
48,46,0.4126354204764466
49,47,0.20800648663459284
50,48,0.4459730534026144
51,49,0.2096575023809041
52,50,0.21646577341403472
53,51,0.7253665550807123
54,52,0.3189317813462365
55,53,0.9100374637267852
56,54,0.20521739751459975
57,55,0.26792969482565354
58,56,0.1974374234516906
59,57,0.2614056424223529
60,58,0.17807843066418177
61,59,0.09620002485565722
62,60,0.2717599005967133
63,61,0.19352566989608624
64,62,0.2226420137775021
65,63,0.3640528244487998
66,64,0.16551585082800666
67,65,0.20338034561687537
68,66,0.09218944860459469
69,67,0.5849388660069421
70,68,0.5515757039845732
71,69,0.13383976820254778
72,70,0.48691913300902073
73,71,0.3422527354825028
74,72,0.3060678130971641
75,73,0.8955977319326978
76,74,0.17755478676314865
77,75,0.16265788850145607
78,76,0.19960303753257178
79,77,0.3618420707343308
80,78,0.2563875758962054
81,79,0.37193812885146893
82,80,0.17850227114316064
83,81,0.26208883027041585
84,82,0.20984593067696916
85,83,0.20198118650771316
86,84,0.37000781415433914
87,85,0.3858829748912297
88,86,0.2834443410004663
89,87,0.24610525606076566
90,88,0.20280508762622923
91,89,0.29302150423977047
92,90,0.20322388141075504
93,91,0.2000188395386858
94,92,0.21109527093535876
95,93,0.2022450380470137
96,94,0.23734615941659531
97,95,0.3682935151075735
98,96,0.2618151949203771
99,97,0.15137329699069463
100,98,0.23041339387643972
101,99,0.2608204746327283
102,100,0.2086949293415438
103,101,0.062181926594480755
104,102,0.20934368073542742
105,103,0.21550145234845192
106,104,0.25626106518995834
107,105,0.5264219723121946
108,106,0.2482039053005643
109,107,0.45733523698372186
110,108,0.7044824974316344
111,109,0.27030504574281045
112,110,0.21967599314598418
113,111,0.2670716662421618
114,112,0.21852664058887167
115,113,0.3409734369416044
116,114,0.27395726064872966
117,115,0.29678176433473835
118,116,0.7581997581157125
119,117,0.2481669693901424
120,118,0.1138646871782126
121,119,0.22344250256685388
122,120,0.276110012864596
123,121,0.2151848891226015
124,122,0.34712693234006997
125,123,0.177468717908093
126,124,0.31889214398280546
127,125,0.1286644684450733
