term,source,value
broke,LLIS,1
negation +design,LLIS,1
not able,LLIS,1
inable,LLIS,1
miss,LLIS,1
fail-safe,LLIS,1
collapse,LLIS,1
shortcoming,LLIS,1
fatal,LLIS,1
loss,LLIS,1
unsuccess,LLIS,1
error,LLIS,1
dysfunction,LLIS,1
noncompliance,LLIS,1
mis-,LLIS,1
irregularity,LLIS,1
unfulfilled,LLIS,1
disconnect,LLIS,1
risk,LLIS,1
systemic risk,LLIS,1
deficiency,LLIS,1
failure,LLIS,1
fault,LLIS,1
rejction,LLIS,1
strain,LLIS,1
critical(ly),LLIS,1
difficult,LLIS,1
clogged,LLIS,1
restrict,LLIS,1
blocked,LLIS,1
mishap,LLIS,1
rupture,LLIS,1
damage,LLIS,1
corrosion,LLIS,1
injury,LLIS,1
puncture,LLIS,1
fracture,LLIS,1
as a result,LLIS,1
release,LLIS,1
kicked,LLIS,1
damaged,LLIS,1
improper,LLIS,1
accident,LLIS,1
unfortunate,LLIS,1
negligence,general,1
remissness,general,1
non-observance,general,1
non-performance,general,1
dereliction,general,1
omission,general,1
neglect,general,1
inadequacy,general,1
insufficiency,general,1
deficiency,general,1
lack,general,1
dearth,general,1
scarcity,general,1
shortfall,general,1
breaking down,general,1
breakdown,general,1
non-function,general,1
cutting out,general,1
seizing up,general,1
malfunction,general,1
faultiness,general,1
crash,general,1
fiasco,general,1
debacle,general,1
catastrophe,general,1
disaster,general,1
blunder,general,1
vain attempt,general,1
abortion,general,1
defeat; lack of success,general,1
non-success,general,1
non-fulfilment,general,1
abortion,general,1
miscarriage,general,1
defeat,general,1
frustration,general,1
collapse,general,1
foundering,general,1
misfiring,general,1
coming to nothing,general,1
falling through,general,1
fault,general,1
flaw,general,1
imperfection,general,1
frailty,general,1
critical,general,1
hole,general,1
failing,general,1
defect,general,1
shortcoming,general,1
culprit,general,1
faulty,general,1
reproach,general,1
weakness,general,1
lack,general,1
trouble,general,1
bug,general,1
shift,general,1
amiss,general,1
blemish,general,1
error,general,1
miss,general,1
overthrust,general,1
defective,general,1
bad,general,1
overcompensate,general,1
fail,general,1
heave,general,1
complaint,general,1
misdoing,general,1
displacement,general,1
abuse,general,1
liability,general,1
break,general,1
trip,general,1
at-fault,general,1
go wrong,general,1
imperfect,general,1
missing,general,1
blunder,general,1
expose,general,1
deficiency,general,1
shutdown,general,1
inadequacy,general,1
lag,general,1
personal injury,general,1
damage,general,1
leak,general,1
vice,general,1
limitation,general,1
lack,general,1
defect,general,1
flaw,general,1
imperfection,general,1
snag,general,1
error,general,1
mistake,general,1
inaccuracy,general,1
blunder,general,1
gaffe,general,1
slip,general,1
bug,general,1
liability,general,1
culpability,general,1
blameworthiness,general,1
"guilt,",general,1
accountability,general,1
answerability,general,1
misdeed,general,1
wrongdoing,general,1
offence,general,1
misdemeanour,general,1
misconduct,general,1
sin,general,1
vice,general,1
lapse,general,1
indiscretion,general,1
peccadillo,general,1
transgression,general,1
trespass,general,1
excessively,general,1
unduly,general,1
immoderately,general,1
overly,general,1
in the extreme,general,1
out of all proportion,general,1
overmuch,general,1
needlessly,general,1
misconduct,general,1
unprotected,LLIS,1
unnoticed,LLIS,1
ignored,LLIS,1
contaminant,LLIS,1
close call,LLIS,1
impeded,LLIS,1
awkward,LLIS,1
discrepancy,LLIS,1
loose,LLIS,1
out of place,LLIS,1
uncertainty,LLIS,1
delay,LLIS,1
hazard,LLIS,1
inadvertently,LLIS,1
aberration,LLIS,1
instability,LLIS,1
nonlinear,LLIS,1
unstable,LLIS,1
poor,LLIS,1
interfere,LLIS,1
distraction,LLIS,1
ingested,LLIS,1
explosion,LLIS,1
undesirable,LLIS,1
interference,LLIS,1
sensitivity,LLIS,1
problem,LLIS,1
susceptibility,LLIS,1
inadvertently,LLIS,1
stress,,
